County,ShortName,CD,Biden,Trump,Total,
Apache,Apache,1,"23,293","11,442","35,172",
Cochise,Cochise,2,"23,732","35,557","60,442",
Coconino,Coconino,1,"44,698","27,052","73,272",
Graham,Graham,1,"4,034","10,749","14,995",
Greenlee,Greenlee,1,"1,182","2,433","3,685",
La Paz,LaPaz,4,"2,236","5,129","7,458",
Navajo,Navajo,1,"23,383","27,657","51,767",
Santa Cruz,SantaCruz,3,"13,138","6,194","19,556",
,,,,,,
,Split Counties,,,,,
Gila (pt.),Gila,1,"4,490","4,867","9,500",143
Gila (pt.),Gila,4,"4,453","13,510","18,162",199
Maricopa (pt.),Maricopa,1,601,72,682,9
Maricopa (pt.),Maricopa,3,"57,830","42,765","102,205","1,610"
Maricopa (pt.),Maricopa,4,"11,696","23,279","35,413",438
Maricopa (pt.),Maricopa,5,"195,270","262,810","465,598","7,518"
Maricopa (pt.),Maricopa,6,"204,365","222,166","432,328","5,797"
Maricopa (pt.),Maricopa,7,"165,129","55,436","224,168","3,603"
Maricopa (pt.),Maricopa,8,"181,691","251,443","438,952","5,818"
Maricopa (pt.),Maricopa,9,"224,192","137,694","368,798","6,912"
Mohave (pt.),Mohave,1,294,95,394,5
Mohave (pt.),Mohave,4,"24,537","78,440","104,274","1,297"
Pima (pt.),Pima,1,"33,763","36,915","71,659",981
Pima (pt.),Pima,2,"189,676","136,246","330,994","5,072"
Pima (pt.),Pima,3,"81,542","34,597","117,744","1,605"
Pinal (pt.),Pinal,1,"42,499","49,308","93,168","1,361"
Pinal (pt.),Pinal,3,138,11,150,1
Pinal (pt.),Pinal,4,"32,469","57,758","91,656","1,429"
Yavapai (pt.),Yavapai,1,"8,945","10,083","19,285",257
Yavapai (pt.),Yavapai,4,"40,657","81,444","123,936","1,835"
Yuma (pt.),Yuma,3,"22,234","15,972","38,842",636
Yuma (pt.),Yuma,4,"9,976","20,562","31,039",501