Precinct,Island,CD,Biden,Trump,Total
01-01,Hawai'i,2,1415,582,2050
01-02,Hawai'i,2,542,207,761
01-03,Hawai'i,2,579,211,815
01-04,Hawai'i,2,186,67,262
01-05,Hawai'i,2,1050,330,1407
01-06,Hawai'i,2,794,308,1132
01-07,Hawai'i,2,862,298,1199
01-08,Hawai'i,2,2657,903,3633
01-09,Hawai'i,2,1085,472,1579
02-01,Hawai'i,2,2113,697,2877
02-02,Hawai'i,2,787,364,1185
02-03,Hawai'i,2,856,276,1157
02-04,Hawai'i,2,2998,1191,4266
02-05,Hawai'i,2,2119,589,2740
03-01,Hawai'i,2,2242,865,3176
03-02,Hawai'i,2,262,91,368
03-03,Hawai'i,2,74,78,156
03-04,Hawai'i,2,2748,1241,4097
03-05,Hawai'i,2,1385,709,2173
03-06,Hawai'i,2,1279,382,1711
03-07,Hawai'i,2,377,160,543
04-01,Hawai'i,2,3479,1831,5441
04-02,Hawai'i,2,1215,622,1889
04-03,Hawai'i,2,1947,781,2836
04-04,Hawai'i,2,1090,436,1589
05-01,Hawai'i,2,720,342,1093
05-02,Hawai'i,2,1013,705,1765
05-03,Hawai'i,2,384,168,567
05-04,Hawai'i,2,415,144,576
05-05,Hawai'i,2,384,156,554
05-06,Hawai'i,2,1695,687,2432
05-07,Hawai'i,2,1292,515,1854
05-08,Hawai'i,2,1956,1253,3272
06-01,Hawai'i,2,611,310,941
06-02,Hawai'i,2,1900,1409,3400
06-03,Hawai'i,2,1595,966,2628
06-04,Hawai'i,2,2075,1428,3612
06-05,Hawai'i,2,1612,949,2629
07-01,Hawai'i,2,918,540,1503
07-02,Hawai'i,2,2339,1419,3846
07-03,Hawai'i,2,2246,873,3200
07-04,Hawai'i,2,2470,914,3476
07-05,Hawai'i,2,965,428,1424
08-01,Maui,2,1000,523,1564
08-02,Maui,2,1584,869,2507
08-03,Maui,2,763,390,1183
08-04,Maui,2,1041,439,1511
08-05,Maui,2,2801,1283,4149
08-06,Maui,2,1055,534,1627
08-07,Maui,2,648,299,971
09-01,Maui,2,1843,1141,3020
09-02,Maui,2,1933,884,2862
09-03,Maui,2,1128,546,1705
09-04,Maui,2,1187,605,1832
10-01,Maui,2,824,383,1240
10-02,Maui,2,1157,503,1696
10-03,Maui,2,1070,623,1729
10-04,Maui,2,857,439,1328
10-05,Maui,2,2614,1582,4295
11-01,Maui,2,1633,876,2565
11-02,Maui,2,2217,1112,3395
11-03,Maui,2,1856,957,2880
11-04,Maui,2,1928,1055,3056
12-01,Maui,2,1810,772,2632
12-02,Maui,2,1212,430,1694
12-03,Maui,2,1718,691,2476
12-04,Maui,2,1874,736,2661
12-05,Maui,2,3042,1152,4331
12-06,Maui,2,158,62,227
13-01,Maui,2,956,323,1317
13-02,Maui,2,3892,1288,5339
13-03,Maui,2,739,240,1016
13-04,Maui,2,809,347,1171
13-05,Maui,2,304,155,470
13-06,Maui,2,892,514,1435
13-07,Maui,2,163,100,269
13-08,Maui,2,574,272,867
13-09,Maui,2,23,1,24
14-01,Kauai,2,1445,647,2139
14-02,Kauai,2,1392,653,2088
14-03,Kauai,2,767,423,1223
14-04,Kauai,2,2617,1565,4301
14-05,Kauai,2,985,506,1515
15-01,Kauai,2,2197,1299,3583
15-02,Kauai,2,961,602,1590
15-03,Kauai,2,1542,809,2395
15-04,Kauai,2,1999,1087,3137
15-05,Kauai,2,424,237,678
16-01,Kauai,2,1628,861,2529
16-02,Kauai,2,2251,1228,3534
16-03,Kauai,2,1487,805,2327
16-04,Kauai,2,603,300,936
16-05,Kauai,2,927,517,1479
16-06,Niihau,2,0,43,43
17-01,O'ahu (pt.),1,2482,1028,3564
17-02,O'ahu (pt.),1,1724,959,2715
17-03,O'ahu (pt.),1,3724,1866,5680
17-04,O'ahu (pt.),1,2074,951,3069
18-01,O'ahu (pt.),1,3232,1481,4782
18-02,O'ahu (pt.),1,1093,426,1546
18-03,O'ahu (pt.),1,2504,1216,3769
18-04,O'ahu (pt.),1,3382,1441,4889
19-01,O'ahu (pt.),1,2886,1290,4236
19-02,O'ahu (pt.),1,715,240,967
19-03,O'ahu (pt.),1,2243,857,3156
19-04,O'ahu (pt.),1,1954,764,2766
19-05,O'ahu (pt.),1,1183,392,1594
20-01,O'ahu (pt.),1,3197,1066,4335
20-02,O'ahu (pt.),1,2142,757,2953
20-03,O'ahu (pt.),1,2204,803,3049
20-04,O'ahu (pt.),1,1926,654,2610
21-01,O'ahu (pt.),1,387,142,540
21-02,O'ahu (pt.),1,1445,525,2006
21-03,O'ahu (pt.),1,3532,1368,4986
21-04,O'ahu (pt.),1,1152,497,1685
22-01,O'ahu (pt.),1,2652,1360,4100
22-02,O'ahu (pt.),1,2666,1522,4264
22-03,O'ahu (pt.),1,849,367,1228
23-01,O'ahu (pt.),1,157,56,216
23-02,O'ahu (pt.),1,2467,797,3333
23-03,O'ahu (pt.),1,323,141,469
23-04,O'ahu (pt.),1,2447,685,3187
23-05,O'ahu (pt.),1,3441,951,4445
24-01,O'ahu (pt.),1,1384,618,2038
24-02,O'ahu (pt.),1,2598,1110,3780
24-03,O'ahu (pt.),1,2022,750,2834
24-04,O'ahu (pt.),1,1441,568,2042
25-01,O'ahu (pt.),1,251,89,345
25-02,O'ahu (pt.),1,3000,1085,4172
25-03,O'ahu (pt.),1,206,121,336
25-04,O'ahu (pt.),1,3175,1256,4531
25-05,O'ahu (pt.),1,1441,604,2076
26-01,O'ahu (pt.),1,2112,1041,3205
26-02,O'ahu (pt.),1,326,154,489
26-03,O'ahu (pt.),1,1957,898,2892
26-04,O'ahu (pt.),1,187,102,295
26-05,O'ahu (pt.),1,171,68,240
26-06,O'ahu (pt.),1,3120,1231,4430
26-07,O'ahu (pt.),1,1127,524,1677
27-01,O'ahu (pt.),1,206,81,295
27-02,O'ahu (pt.),1,1439,932,2405
27-03,O'ahu (pt.),1,3770,1469,5324
27-04,O'ahu (pt.),1,1319,597,1951
27-05,O'ahu (pt.),1,119,72,198
28-01,O'ahu (pt.),1,957,656,1639
28-02,O'ahu (pt.),1,735,452,1198
28-03,O'ahu (pt.),1,1929,1409,3409
28-04,O'ahu (pt.),1,451,321,781
29-01,O'ahu (pt.),1,1514,803,2361
29-02,O'ahu (pt.),1,954,721,1703
29-03,O'ahu (pt.),1,775,683,1480
29-04,O'ahu (pt.),1,372,242,621
30-01,O'ahu (pt.),1,740,616,1374
30-02,O'ahu (pt.),1,1154,998,2176
30-03,O'ahu (pt.),1,477,366,864
30-04,O'ahu (pt.),1,497,379,893
31-01,O'ahu (pt.),1,1125,574,1715
31-02,O'ahu (pt.),1,288,178,489
31-03,O'ahu (pt.),1,2041,1350,3457
31-04,O'ahu (pt.),1,387,207,606
31-05,O'ahu (pt.),1,1621,949,2608
32-01,O'ahu (pt.),1,1125,478,1622
32-02,O'ahu (pt.),1,2752,1504,4329
32-03,O'ahu (pt.),1,2742,1601,4406
33-01,O'ahu (pt.),1,1654,762,2447
33-02,O'ahu (pt.),1,104,36,144
33-03,O'ahu (pt.),1,80,33,113
33-04,O'ahu (pt.),1,2027,990,3067
33-05,O'ahu (pt.),1,1865,1004,2912
33-06,O'ahu (pt.),1,2924,1253,4216
34-01,O'ahu (pt.),1,2906,1751,4742
34-02,O'ahu (pt.),1,3020,1294,4363
34-03,O'ahu (pt.),1,2106,1281,3440
35-01,O'ahu (pt.),1,373,286,678
35-02,O'ahu (pt.),1,2448,1309,3847
35-03,O'ahu (pt.),1,229,244,484
35-04,O'ahu (pt.),1,933,787,1747
35-05,O'ahu (pt.),1,363,180,549
35-06,O'ahu (pt.),1,696,559,1271
36-01,O'ahu (pt.),1,3441,1790,5299
36-02,O'ahu (pt.),1,3302,1875,5257
36-03,O'ahu (pt.),1,1814,1274,3159
37-01,O'ahu (pt.),1,2203,1196,3462
37-02,O'ahu (pt.),1,2537,1454,4057
37-03,O'ahu (pt.),1,2284,1372,3722
37-04,O'ahu (pt.),1,1714,1075,2846
38-01,O'ahu (pt.),1,1721,1293,3057
38-02,O'ahu (pt.),1,1501,1274,2814
38-03,O'ahu (pt.),1,804,617,1445
38-04,O'ahu (pt.),1,276,221,505
39-01,O'ahu (pt.),1,316,274,601
39-02,O'ahu (pt.),2,3191,2508,5780
39-03,O'ahu (pt.),1,1553,1550,3146
39-04,O'ahu (pt.),2,1234,1094,2377
39-05,O'ahu (pt.),2,3,9,12
40-01,O'ahu (pt.),1,346,336,699
40-02,O'ahu (pt.),1,2102,2111,4274
40-03,O'ahu (pt.),1,2186,2202,4472
40-04,O'ahu (pt.),1,49,75,126
41-01,O'ahu (pt.),1,44,53,99
41-02,O'ahu (pt.),1,2998,2702,5815
41-03,O'ahu (pt.),1,1772,1532,3379
41-04,O'ahu (pt.),1,259,232,498
41-05,O'ahu (pt.),1,1861,1696,3622
42-01,O'ahu (pt.),1,2467,2047,4608
42-02,O'ahu (pt.),2,1028,952,2032
42-03,O'ahu (pt.),2,1704,1595,3376
42-04,O'ahu (pt.),1,1758,1532,3339
43-01,O'ahu (pt.),1,94,125,222
43-02,O'ahu (pt.),1,256,156,420
43-03,O'ahu (pt.),1,676,574,1285
43-04,O'ahu (pt.),2,1795,1792,3691
43-05,O'ahu (pt.),2,1327,1513,2904
44-01,O'ahu (pt.),2,2187,2243,4541
44-02,O'ahu (pt.),2,1502,1294,2869
45-01,O'ahu (pt.),1,2008,1265,3356
45-02,O'ahu (pt.),1,681,552,1272
45-03,O'ahu (pt.),2,24,22,49
45-04,O'ahu (pt.),2,1512,898,2493
45-05,O'ahu (pt.),2,30,19,49
46-01,O'ahu (pt.),1,396,241,655
46-02,O'ahu (pt.),2,1620,1135,2822
46-03,O'ahu (pt.),2,1913,1387,3364
46-04,O'ahu (pt.),2,693,622,1345
47-01,O'ahu (pt.),2,1336,857,2243
47-02,O'ahu (pt.),2,1258,824,2127
47-03,O'ahu (pt.),2,770,1409,2229
47-04,O'ahu (pt.),2,1591,1434,3107
48-01,O'ahu (pt.),2,1447,969,2478
48-02,O'ahu (pt.),2,637,329,986
48-03,O'ahu (pt.),2,1704,919,2683
48-04,O'ahu (pt.),2,608,297,916
48-05,O'ahu (pt.),2,2215,1260,3547
48-06,O'ahu (pt.),2,1956,1049,3082
49-01,O'ahu (pt.),2,2399,1267,3755
49-02,O'ahu (pt.),2,1303,666,2014
49-03,O'ahu (pt.),2,2265,1025,3352
49-04,O'ahu (pt.),2,1896,854,2798
49-05,O'ahu (pt.),2,474,166,652
49-06,O'ahu (pt.),2,975,362,1371
50-01,O'ahu (pt.),2,2175,1022,3298
50-02,O'ahu (pt.),2,2990,1546,4654
50-03,O'ahu (pt.),2,3380,1550,5049
50-04,O'ahu (pt.),2,137,49,188
51-01,O'ahu (pt.),2,1201,516,1739
51-02,O'ahu (pt.),2,1503,823,2370
51-03,O'ahu (pt.),2,856,354,1230
51-04,O'ahu (pt.),2,2242,1141,3455
51-05,O'ahu (pt.),2,1174,805,2039
51-06,O'ahu (pt.),2,1277,759,2092