County,CD,Biden,Trump,Total
Adair,3,"1,198","2,917","4,172"
Adams,3,590,"1,530","2,155"
Allamakee,1,"2,576","4,735","7,413"
Appanoose,2,"1,891","4,512","6,506"
Audubon,4,"1,071","2,295","3,416"
Benton,1,"5,160","9,188","14,622"
Black Hawk,1,"35,647","29,640","66,420"
Boone,4,"6,303","8,695","15,306"
Bremer,1,"5,958","8,294","14,516"
Buchanan,1,"4,169","6,420","10,764"
Buena Vista,4,"2,961","5,056","8,149"
Butler,4,"2,424","5,542","8,084"
Calhoun,4,"1,470","3,689","5,249"
Carroll,4,"3,454","7,737","11,306"
Cass,3,"2,201","4,969","7,266"
Cedar,2,"4,337","6,161","10,680"
Cerro Gordo,4,"10,941","12,442","23,744"
Cherokee,4,"1,936","4,495","6,503"
Chickasaw,4,"2,233","4,308","6,617"
Clarke,2,"1,466","3,144","4,661"
Clay,4,"2,662","6,137","8,948"
Clayton,1,"3,340","6,106","9,581"
Clinton,2,"10,812","13,361","24,638"
Crawford,4,"2,220","4,854","7,146"
Dallas,3,"26,879","27,987","55,847"
Davis,2,"1,013","3,032","4,099"
Decatur,2,"1,120","2,615","3,801"
Delaware,1,"3,157","6,666","9,981"
Des Moines,2,"8,893","10,592","19,906"
Dickinson,4,"3,661","7,438","11,230"
Dubuque,1,"25,657","27,214","53,782"
Emmet,4,"1,520","3,265","4,850"
Fayette,1,"3,835","6,145","10,157"
Floyd,4,"3,172","4,732","8,017"
Franklin,4,"1,626","3,422","5,119"
Fremont,3,"1,080","2,711","3,851"
Greene,4,"1,769","3,223","5,051"
Grundy,4,"2,206","4,929","7,260"
Guthrie,3,"1,985","4,272","6,363"
Hamilton,4,"2,843","4,956","7,917"
Hancock,4,"1,683","4,390","6,161"
Hardin,4,"2,976","5,850","8,975"
Harrison,4,"2,440","5,569","8,144"
Henry,2,"3,275","6,507","9,964"
Howard,1,"1,772","3,127","4,952"
Humboldt,4,"1,442","3,819","5,321"
Ida,4,917,"2,880","3,844"
Iowa,1,"3,547","6,009","9,716"
Jackson,1,"4,029","6,940","11,118"
Jasper,2,"7,737","12,084","20,143"
Jefferson,2,"4,319","4,443","8,926"
Johnson,2,"59,177","22,925","83,570"
Jones,1,"4,213","6,572","10,965"
Keokuk,2,"1,414","3,797","5,291"
Kossuth,4,"2,696","6,275","9,077"
Lee,2,"6,541","9,773","16,699"
Linn,1,"70,874","53,364","127,078"
Louisa,2,"1,726","3,500","5,326"
Lucas,2,"1,284","3,287","4,622"
Lyon,4,"1,067","5,707","6,852"
Madison,3,"3,134","6,507","9,806"
Mahaska,2,"2,894","8,297","11,381"
Marion,2,"6,178","12,663","19,173"
Marshall,1,"8,176","9,571","18,097"
Mills,3,"2,508","5,585","8,237"
Mitchell,1,"2,053","3,677","5,815"
Monona,4,"1,407","3,248","4,714"
Monroe,2,"1,078","2,975","4,085"
Montgomery,3,"1,583","3,659","5,320"
Muscatine,2,"9,372","10,823","20,629"
O'Brien,4,"1,569","5,861","7,541"
Osceola,4,601,"2,690","3,323"
Page,3,"2,086","5,319","7,519"
Palo Alto,4,"1,519","3,370","4,950"
Plymouth,4,"3,494","10,492","14,165"
Pocahontas,4,933,"2,826","3,817"
Polk,3,"146,250","106,800","257,991"
Pottawattamie,3,"18,575","26,247","45,639"
Poweshiek,1,"4,306","5,657","10,124"
Ringgold,3,709,"1,968","2,708"
Sac,4,"1,389","4,061","5,527"
Scott,2,"46,926","43,683","92,324"
Shelby,4,"1,959","4,697","6,781"
Sioux,4,"3,019","15,680","18,956"
Story,4,"29,175","20,340","50,837"
Tama,1,"3,577","5,303","9,026"
Taylor,3,746,"2,463","3,242"
Union,3,"2,061","4,010","6,171"
Van Buren,2,875,"2,859","3,780"
Wapello,2,"5,821","9,516","15,613"
Warren,3,"12,574","17,782","30,953"
Washington,2,"4,561","6,971","11,745"
Wayne,2,727,"2,338","3,103"
Webster,4,"6,613","10,938","17,790"
Winnebago,4,"2,135","3,707","5,951"
Winneshiek,1,"5,617","6,235","12,036"
Woodbury,4,"18,704","25,736","45,172"
Worth,1,"1,596","2,738","4,414"
Wright,4,"1,996","4,136","6,242"