County,CD,Election District,Election Precinct,Biden,Trump,Total
Allegany,6,1,0,76,417,501
Allegany,6,2,0,81,429,515
Allegany,6,3,0,80,460,544
Allegany,6,4,2,133,210,354
Allegany,6,4,3,238,375,628
Allegany,6,4,4,374,563,948
Allegany,6,4,5,147,303,453
Allegany,6,4,8,275,512,806
Allegany,6,5,4,275,415,697
Allegany,6,5,6,72,281,359
Allegany,6,6,1,439,375,829
Allegany,6,6,3,169,228,402
Allegany,6,6,5,333,369,721
Allegany,6,6,6,262,657,933
Allegany,6,7,1,292,769,1080
Allegany,6,7,2,330,832,1179
Allegany,6,8,0,254,997,1267
Allegany,6,9,0,82,437,525
Allegany,6,10,0,129,696,837
Allegany,6,11,0,286,327,619
Allegany,6,12,0,559,881,1481
Allegany,6,13,0,165,784,962
Allegany,6,14,0,130,134,272
Allegany,6,16,0,187,878,1075
Allegany,6,18,0,150,851,1011
Allegany,6,20,0,168,818,998
Allegany,6,21,0,111,514,632
Allegany,6,22,1,336,621,977
Allegany,6,22,2,20,69,89
Allegany,6,23,0,408,695,1125
Allegany,6,24,0,191,652,852
Allegany,6,26,0,921,745,1694
Allegany,6,29,1,428,913,1358
Allegany,6,29,2,413,745,1174
Allegany,6,29,3,280,580,870
Allegany,6,31,0,138,615,760
Allegany,6,34,0,226,739,984
Anne Arundel (pt.),3,1,1,737,893,1662
Anne Arundel (pt.),3,1,2,655,717,1404
Anne Arundel (pt.),3,1,3,590,822,1447
Anne Arundel (pt.),2,1,4,911,595,1539
Anne Arundel (pt.),2,1,5,864,401,1288
Anne Arundel (pt.),2,1,6,1371,475,1889
Anne Arundel (pt.),2,1,7,406,629,1073
Anne Arundel (pt.),3,1,8,609,936,1585
Anne Arundel (pt.),3,1,9,521,880,1441
Anne Arundel (pt.),2,1,10,491,573,1088
Anne Arundel (pt.),2,1,11,374,505,901
Anne Arundel (pt.),2,1,12,1358,390,1779
Anne Arundel (pt.),2,1,13,313,307,633
Anne Arundel (pt.),3,1,14,571,710,1314
Anne Arundel (pt.),2,1,15,666,648,1346
Anne Arundel (pt.),2,1,16,543,571,1140
Anne Arundel (pt.),2,1,17,470,429,908
Anne Arundel (pt.),2,1,18,1218,699,1956
Anne Arundel (pt.),2,1,19,1312,421,1773
Anne Arundel (pt.),2,1,20,1276,517,1835
Anne Arundel (pt.),2,1,21,1554,257,1846
Anne Arundel (pt.),2,1,22,3463,997,4554
Anne Arundel (pt.),2,1,23,1227,320,1577
Anne Arundel (pt.),2,1,24,863,285,1169
Anne Arundel (pt.),2,1,25,577,466,1067
Anne Arundel (pt.),2,1,26,1998,345,2384
Anne Arundel (pt.),3,2,1,746,612,1397
Anne Arundel (pt.),4,2,2,733,506,1259
Anne Arundel (pt.),3,2,3,593,602,1227
Anne Arundel (pt.),3,2,4,1152,813,1997
Anne Arundel (pt.),3,2,5,873,560,1463
Anne Arundel (pt.),3,2,6,563,566,1157
Anne Arundel (pt.),3,2,7,1125,865,2030
Anne Arundel (pt.),3,2,8,761,929,1726
Anne Arundel (pt.),3,2,9,995,496,1532
Anne Arundel (pt.),3,2,10,626,939,1597
Anne Arundel (pt.),3,2,11,417,491,930
Anne Arundel (pt.),3,2,12,452,607,1080
Anne Arundel (pt.),4,2,13,722,691,1452
Anne Arundel (pt.),3,2,14,1461,371,1873
Anne Arundel (pt.),3,2,15,1154,480,1679
Anne Arundel (pt.),3,2,16,424,507,953
Anne Arundel (pt.),3,2,17,1303,405,1739
Anne Arundel (pt.),4,2,18,792,341,1165
Anne Arundel (pt.),3,2,19,981,499,1508
Anne Arundel (pt.),4,2,20,943,700,1677
Anne Arundel (pt.),4,2,21,1248,1242,2549
Anne Arundel (pt.),3,2,22,688,1044,1785
Anne Arundel (pt.),3,2,23,1139,826,2032
Anne Arundel (pt.),3,2,24,876,696,1608
Anne Arundel (pt.),4,3,1,510,964,1509
Anne Arundel (pt.),3,3,2,353,670,1047
Anne Arundel (pt.),4,3,3,727,1366,2144
Anne Arundel (pt.),4,3,4,858,1145,2051
Anne Arundel (pt.),4,3,5,1070,1271,2394
Anne Arundel (pt.),3,3,6,3917,2479,6530
Anne Arundel (pt.),4,3,7,683,825,1559
Anne Arundel (pt.),3,3,8,1069,821,1929
Anne Arundel (pt.),4,3,9,295,507,826
Anne Arundel (pt.),4,3,10,548,1230,1807
Anne Arundel (pt.),3,3,11,594,1265,1893
Anne Arundel (pt.),3,3,12,469,1219,1721
Anne Arundel (pt.),4,3,13,551,1225,1810
Anne Arundel (pt.),3,3,14,363,808,1189
Anne Arundel (pt.),3,3,15,400,815,1243
Anne Arundel (pt.),4,3,16,589,980,1620
Anne Arundel (pt.),4,3,17,443,1099,1565
Anne Arundel (pt.),4,3,18,605,1310,1945
Anne Arundel (pt.),3,3,19,464,1143,1629
Anne Arundel (pt.),3,3,20,361,980,1369
Anne Arundel (pt.),4,3,21,814,987,1857
Anne Arundel (pt.),4,3,22,572,755,1346
Anne Arundel (pt.),4,3,23,536,810,1381
Anne Arundel (pt.),3,3,24,667,1070,1772
Anne Arundel (pt.),3,3,25,827,477,1328
Anne Arundel (pt.),3,4,1,1022,331,1373
Anne Arundel (pt.),3,4,2,1294,659,2007
Anne Arundel (pt.),4,4,3,843,663,1541
Anne Arundel (pt.),4,4,4,818,923,1799
Anne Arundel (pt.),3,4,5,775,338,1128
Anne Arundel (pt.),3,4,6,1967,209,2201
Anne Arundel (pt.),2,4,7,1628,544,2237
Anne Arundel (pt.),4,4,8,830,693,1558
Anne Arundel (pt.),2,4,9,2195,356,2591
Anne Arundel (pt.),5,4,10,1030,513,1562
Anne Arundel (pt.),3,4,11,905,407,1350
Anne Arundel (pt.),3,4,12,859,583,1480
Anne Arundel (pt.),4,4,13,615,777,1433
Anne Arundel (pt.),4,4,14,714,744,1500
Anne Arundel (pt.),4,4,15,1185,1012,2263
Anne Arundel (pt.),3,4,16,1202,476,1705
Anne Arundel (pt.),3,4,17,920,354,1305
Anne Arundel (pt.),4,4,18,1617,714,2383
Anne Arundel (pt.),2,4,19,1376,167,1567
Anne Arundel (pt.),3,4,20,1158,523,1710
Anne Arundel (pt.),4,4,21,1654,925,2620
Anne Arundel (pt.),4,4,22,1097,405,1531
Anne Arundel (pt.),4,4,23,1741,936,2726
Anne Arundel (pt.),2,4,24,1498,279,1813
Anne Arundel (pt.),3,4,25,147,59,209
Anne Arundel (pt.),3,4,26,609,167,797
Anne Arundel (pt.),3,5,1,1010,851,1894
Anne Arundel (pt.),3,5,2,1153,799,1998
Anne Arundel (pt.),4,5,3,953,734,1722
Anne Arundel (pt.),4,5,4,885,815,1743
Anne Arundel (pt.),4,5,5,933,663,1629
Anne Arundel (pt.),4,5,6,854,517,1394
Anne Arundel (pt.),4,5,7,764,620,1413
Anne Arundel (pt.),4,5,8,962,736,1738
Anne Arundel (pt.),4,5,9,601,444,1064
Anne Arundel (pt.),4,5,10,428,454,894
Anne Arundel (pt.),4,5,11,808,659,1502
Anne Arundel (pt.),4,5,12,707,537,1274
Anne Arundel (pt.),4,5,13,827,682,1550
Anne Arundel (pt.),4,5,14,871,706,1614
Anne Arundel (pt.),4,5,15,453,387,855
Anne Arundel (pt.),4,5,16,692,548,1265
Anne Arundel (pt.),3,5,17,960,797,1792
Anne Arundel (pt.),3,5,18,911,644,1587
Anne Arundel (pt.),4,5,19,755,590,1379
Anne Arundel (pt.),3,5,20,1007,610,1644
Anne Arundel (pt.),4,5,21,1270,929,2257
Anne Arundel (pt.),3,5,22,975,727,1756
Anne Arundel (pt.),4,5,23,717,473,1209
Anne Arundel (pt.),4,5,24,707,649,1383
Anne Arundel (pt.),4,5,25,803,743,1570
Anne Arundel (pt.),4,5,26,1629,1058,2747
Anne Arundel (pt.),4,5,27,877,622,1535
Anne Arundel (pt.),4,5,28,449,332,790
Anne Arundel (pt.),4,5,29,243,397,656
Anne Arundel (pt.),4,5,30,446,409,871
Anne Arundel (pt.),4,5,31,251,237,497
Anne Arundel (pt.),4,5,32,460,232,710
Anne Arundel (pt.),4,5,33,705,848,1586
Anne Arundel (pt.),4,5,34,563,388,977
Anne Arundel (pt.),3,5,35,78,79,158
Anne Arundel (pt.),3,6,1,1596,540,2170
Anne Arundel (pt.),3,6,2,1016,508,1549
Anne Arundel (pt.),3,6,3,937,156,1108
Anne Arundel (pt.),3,6,4,433,80,525
Anne Arundel (pt.),3,6,5,753,356,1131
Anne Arundel (pt.),3,6,6,599,114,724
Anne Arundel (pt.),3,6,7,633,223,870
Anne Arundel (pt.),3,6,8,1064,384,1471
Anne Arundel (pt.),3,6,9,963,507,1498
Anne Arundel (pt.),3,6,10,734,477,1234
Anne Arundel (pt.),3,6,11,718,257,991
Anne Arundel (pt.),3,6,12,1159,387,1580
Anne Arundel (pt.),3,6,13,736,174,926
Anne Arundel (pt.),3,6,14,1238,294,1550
Anne Arundel (pt.),3,6,15,899,267,1187
Anne Arundel (pt.),3,6,16,650,140,801
Anne Arundel (pt.),3,6,17,1104,433,1559
Anne Arundel (pt.),3,6,18,1213,507,1748
Anne Arundel (pt.),4,6,19,1285,895,2203
Anne Arundel (pt.),4,6,20,769,479,1257
Anne Arundel (pt.),4,6,21,400,387,800
Anne Arundel (pt.),3,6,22,1153,589,1789
Anne Arundel (pt.),3,6,23,902,427,1355
Anne Arundel (pt.),3,6,24,986,347,1360
Anne Arundel (pt.),3,6,25,847,509,1383
Anne Arundel (pt.),4,6,26,1438,1087,2576
Anne Arundel (pt.),4,6,27,369,397,773
Anne Arundel (pt.),4,6,28,718,652,1395
Anne Arundel (pt.),3,6,29,525,409,950
Anne Arundel (pt.),3,6,30,1049,471,1544
Anne Arundel (pt.),4,6,31,697,539,1245
Anne Arundel (pt.),4,6,32,859,542,1427
Anne Arundel (pt.),5,7,1,931,1270,2235
Anne Arundel (pt.),5,7,2,958,1059,2056
Anne Arundel (pt.),5,7,3,773,660,1458
Anne Arundel (pt.),5,7,4,660,764,1458
Anne Arundel (pt.),5,7,5,1299,1448,2805
Anne Arundel (pt.),5,7,6,1129,1410,2588
Anne Arundel (pt.),5,7,7,926,1052,2008
Anne Arundel (pt.),5,7,8,777,885,1692
Anne Arundel (pt.),5,7,9,834,787,1655
Anne Arundel (pt.),5,7,10,868,1061,1961
Anne Arundel (pt.),5,7,11,275,368,664
Anne Arundel (pt.),4,7,12,527,528,1080
Anne Arundel (pt.),4,7,13,931,889,1852
Anne Arundel (pt.),5,7,14,758,442,1230
Anne Arundel (pt.),5,7,15,1025,648,1722
Anne Arundel (pt.),5,7,16,1207,465,1708
Anne Arundel (pt.),4,7,17,597,379,1007
Anne Arundel (pt.),4,7,18,1107,642,1780
Anne Arundel (pt.),5,7,19,500,651,1170
Anne Arundel (pt.),4,7,20,871,430,1340
Anne Arundel (pt.),5,7,21,787,1212,2034
Anne Arundel (pt.),4,7,22,966,1017,2012
Anne Arundel (pt.),4,7,23,1193,1093,2326
Anne Arundel (pt.),4,7,24,1175,779,1998
Anne Arundel (pt.),5,7,25,754,988,1767
Anne Arundel (pt.),5,7,26,939,728,1703
Anne Arundel (pt.),5,7,27,1218,1162,2417
Baltimore City (pt.),3,1,1,1317,248,1600
Baltimore City (pt.),3,1,2,1142,158,1333
Baltimore City (pt.),3,1,3,1008,233,1285
Baltimore City (pt.),3,1,4,1241,376,1661
Baltimore City (pt.),3,1,5,1614,494,2173
Baltimore City (pt.),3,2,1,640,68,714
Baltimore City (pt.),3,2,2,966,138,1124
Baltimore City (pt.),3,2,3,1356,246,1628
Baltimore City (pt.),7,3,1,411,23,445
Baltimore City (pt.),7,3,2,285,29,319
Baltimore City (pt.),3,3,3,1115,262,1404
Baltimore City (pt.),7,4,1,875,84,977
Baltimore City (pt.),7,4,2,1336,141,1506
Baltimore City (pt.),7,4,3,248,5,259
Baltimore City (pt.),7,5,1,485,26,521
Baltimore City (pt.),7,5,2,69,,70
Baltimore City (pt.),7,6,1,452,39,500
Baltimore City (pt.),7,6,2,327,28,361
Baltimore City (pt.),7,6,3,229,15,245
Baltimore City (pt.),7,6,4,719,45,787
Baltimore City (pt.),3,6,5,1542,162,1734
Baltimore City (pt.),7,7,1,472,21,498
Baltimore City (pt.),7,7,2,166,11,179
Baltimore City (pt.),7,7,3,831,30,875
Baltimore City (pt.),7,7,4,759,34,797
Baltimore City (pt.),3,8,1,59,5,64
Baltimore City (pt.),7,8,2,721,35,762
Baltimore City (pt.),7,8,3,699,36,740
Baltimore City (pt.),7,8,4,157,10,170
Baltimore City (pt.),7,8,5,630,27,658
Baltimore City (pt.),7,8,6,941,26,981
Baltimore City (pt.),7,8,7,473,16,495
Baltimore City (pt.),3,8,8,591,76,683
Baltimore City (pt.),3,8,9,36,2,39
Baltimore City (pt.),7,8,10,1288,31,1335
Baltimore City (pt.),7,8,11,201,7,211
Baltimore City (pt.),7,9,1,338,10,354
Baltimore City (pt.),7,9,2,461,24,493
Baltimore City (pt.),7,9,3,730,27,763
Baltimore City (pt.),7,9,4,1805,80,1914
Baltimore City (pt.),7,9,5,1087,55,1158
Baltimore City (pt.),7,9,6,1200,46,1258
Baltimore City (pt.),7,9,7,854,24,891
Baltimore City (pt.),7,9,8,529,15,545
Baltimore City (pt.),7,9,9,399,22,427
Baltimore City (pt.),7,9,10,563,23,598
Baltimore City (pt.),7,9,11,108,1,112
Baltimore City (pt.),7,9,12,627,18,652
Baltimore City (pt.),7,9,13,186,10,197
Baltimore City (pt.),7,9,14,562,16,585
Baltimore City (pt.),7,9,15,687,30,724
Baltimore City (pt.),7,10,1,528,11,543
Baltimore City (pt.),7,10,2,484,15,507
Baltimore City (pt.),7,10,3,141,13,158
Baltimore City (pt.),7,10,4,251,3,260
Baltimore City (pt.),7,11,1,1056,57,1142
Baltimore City (pt.),7,11,2,248,17,269
Baltimore City (pt.),7,11,3,938,45,1002
Baltimore City (pt.),7,11,4,34,2,37
Baltimore City (pt.),7,11,5,840,36,884
Baltimore City (pt.),7,11,6,1346,95,1470
Baltimore City (pt.),7,11,7,915,50,995
Baltimore City (pt.),3,12,1,1692,195,1912
Baltimore City (pt.),7,12,2,150,31,185
Baltimore City (pt.),7,12,3,432,42,483
Baltimore City (pt.),7,12,4,647,47,704
Baltimore City (pt.),7,12,5,698,34,746
Baltimore City (pt.),7,12,6,530,32,576
Baltimore City (pt.),7,12,7,822,24,865
Baltimore City (pt.),7,12,8,857,45,935
Baltimore City (pt.),7,12,9,990,136,1148
Baltimore City (pt.),7,12,10,739,34,794
Baltimore City (pt.),7,12,11,462,19,495
Baltimore City (pt.),7,12,12,946,28,988
Baltimore City (pt.),7,12,13,,,
Baltimore City (pt.),3,13,1,900,72,983
Baltimore City (pt.),3,13,2,742,134,891
Baltimore City (pt.),3,13,3,1342,249,1623
Baltimore City (pt.),3,13,4,671,170,860
Baltimore City (pt.),3,13,5,542,92,650
Baltimore City (pt.),7,13,6,278,7,291
Baltimore City (pt.),7,13,7,559,13,578
Baltimore City (pt.),7,13,8,872,26,912
Baltimore City (pt.),7,13,9,597,14,622
Baltimore City (pt.),7,13,10,849,38,898
Baltimore City (pt.),7,13,11,1384,184,1605
Baltimore City (pt.),3,13,12,1079,125,1229
Baltimore City (pt.),7,13,13,74,9,83
Baltimore City (pt.),7,14,1,530,28,571
Baltimore City (pt.),7,14,2,509,23,542
Baltimore City (pt.),7,14,3,344,5,355
Baltimore City (pt.),7,14,4,1089,46,1151
Baltimore City (pt.),7,14,5,170,9,183
Baltimore City (pt.),7,15,1,759,36,805
Baltimore City (pt.),7,15,2,485,22,513
Baltimore City (pt.),7,15,3,1288,41,1340
Baltimore City (pt.),7,15,4,448,16,469
Baltimore City (pt.),7,15,5,774,26,812
Baltimore City (pt.),7,15,6,904,27,939
Baltimore City (pt.),7,15,7,732,20,759
Baltimore City (pt.),7,15,8,447,21,475
Baltimore City (pt.),7,15,9,1213,48,1280
Baltimore City (pt.),7,15,10,757,30,798
Baltimore City (pt.),7,15,11,606,20,635
Baltimore City (pt.),7,15,12,104,2,108
Baltimore City (pt.),7,15,13,319,8,330
Baltimore City (pt.),7,15,14,705,16,724
Baltimore City (pt.),7,15,15,310,8,321
Baltimore City (pt.),7,15,16,323,9,335
Baltimore City (pt.),7,15,17,629,14,648
Baltimore City (pt.),7,15,18,1017,38,1067
Baltimore City (pt.),7,15,19,28,3,31
Baltimore City (pt.),7,15,20,1009,24,1041
Baltimore City (pt.),7,15,21,555,14,571
Baltimore City (pt.),7,15,22,463,17,485
Baltimore City (pt.),7,15,23,711,27,744
Baltimore City (pt.),7,15,24,814,38,860
Baltimore City (pt.),7,15,25,275,19,298
Baltimore City (pt.),7,16,1,309,6,318
Baltimore City (pt.),7,16,2,464,12,484
Baltimore City (pt.),7,16,3,281,14,296
Baltimore City (pt.),7,16,4,179,10,190
Baltimore City (pt.),7,16,5,728,28,766
Baltimore City (pt.),7,16,6,750,11,766
Baltimore City (pt.),7,16,7,616,21,648
Baltimore City (pt.),7,16,8,397,8,409
Baltimore City (pt.),7,16,9,557,12,579
Baltimore City (pt.),7,16,10,359,5,366
Baltimore City (pt.),7,16,11,318,7,326
Baltimore City (pt.),7,16,12,673,23,704
Baltimore City (pt.),7,16,13,756,20,780
Baltimore City (pt.),7,16,14,1535,34,1580
Baltimore City (pt.),7,17,1,81,4,85
Baltimore City (pt.),7,17,2,1226,53,1303
Baltimore City (pt.),7,18,1,362,13,381
Baltimore City (pt.),7,18,2,694,72,774
Baltimore City (pt.),7,19,1,511,8,524
Baltimore City (pt.),7,19,2,636,85,740
Baltimore City (pt.),7,19,3,69,4,73
Baltimore City (pt.),7,20,1,607,17,628
Baltimore City (pt.),7,20,2,241,9,252
Baltimore City (pt.),7,20,3,670,22,704
Baltimore City (pt.),7,20,4,108,6,115
Baltimore City (pt.),7,20,5,443,8,454
Baltimore City (pt.),7,20,6,1476,28,1514
Baltimore City (pt.),7,20,7,955,51,1013
Baltimore City (pt.),7,20,8,294,23,325
Baltimore City (pt.),7,20,9,202,59,266
Baltimore City (pt.),7,20,10,146,29,178
Baltimore City (pt.),7,20,11,321,67,393
Baltimore City (pt.),7,20,12,,,
Baltimore City (pt.),3,21,1,505,49,568
Baltimore City (pt.),7,21,2,880,62,953
Baltimore City (pt.),3,21,3,759,126,898
Baltimore City (pt.),3,21,4,251,37,297
Baltimore City (pt.),3,21,5,,,
Baltimore City (pt.),7,22,1,786,154,949
Baltimore City (pt.),3,22,2,913,130,1062
Baltimore City (pt.),3,23,1,766,151,946
Baltimore City (pt.),3,23,2,650,96,760
Baltimore City (pt.),3,23,3,1033,315,1385
Baltimore City (pt.),3,24,1,411,110,532
Baltimore City (pt.),3,24,2,509,87,613
Baltimore City (pt.),3,24,3,1049,268,1345
Baltimore City (pt.),3,24,4,1425,375,1832
Baltimore City (pt.),3,24,5,2222,673,2959
Baltimore City (pt.),7,25,1,1576,114,1708
Baltimore City (pt.),7,25,2,996,58,1063
Baltimore City (pt.),3,25,3,606,392,1025
Baltimore City (pt.),3,25,4,609,470,1103
Baltimore City (pt.),2,25,5,739,134,888
Baltimore City (pt.),2,25,6,426,20,456
Baltimore City (pt.),2,25,7,172,18,193
Baltimore City (pt.),2,25,8,850,42,913
Baltimore City (pt.),2,25,9,508,7,525
Baltimore City (pt.),2,25,10,614,26,653
Baltimore City (pt.),2,25,11,143,110,258
Baltimore City (pt.),2,25,12,326,169,504
Baltimore City (pt.),2,25,13,194,98,297
Baltimore City (pt.),2,25,14,342,45,397
Baltimore City (pt.),2,25,15,386,89,484
Baltimore City (pt.),2,25,16,1663,304,1998
Baltimore City (pt.),7,25,17,154,39,196
Baltimore City (pt.),7,25,18,108,22,136
Baltimore City (pt.),2,26,1,63,64,133
Baltimore City (pt.),2,26,2,513,141,666
Baltimore City (pt.),2,26,3,337,293,634
Baltimore City (pt.),2,26,4,279,167,453
Baltimore City (pt.),3,26,5,159,94,258
Baltimore City (pt.),3,26,6,277,176,463
Baltimore City (pt.),3,26,7,641,200,862
Baltimore City (pt.),3,26,8,820,233,1085
Baltimore City (pt.),3,26,9,1568,517,2145
Baltimore City (pt.),3,26,10,897,224,1148
Baltimore City (pt.),3,26,11,292,94,396
Baltimore City (pt.),7,26,12,178,19,200
Baltimore City (pt.),3,26,13,160,194,360
Baltimore City (pt.),3,26,14,139,144,288
Baltimore City (pt.),2,26,15,826,35,867
Baltimore City (pt.),2,26,16,666,27,700
Baltimore City (pt.),3,26,17,282,13,296
Baltimore City (pt.),3,26,18,588,40,632
Baltimore City (pt.),7,26,19,716,28,755
Baltimore City (pt.),7,26,20,358,14,373
Baltimore City (pt.),3,26,21,452,14,471
Baltimore City (pt.),2,26,22,394,20,417
Baltimore City (pt.),2,26,23,600,27,635
Baltimore City (pt.),2,26,24,1135,46,1198
Baltimore City (pt.),2,26,25,714,39,763
Baltimore City (pt.),2,26,26,858,121,1002
Baltimore City (pt.),2,26,27,789,71,867
Baltimore City (pt.),2,26,28,679,37,722
Baltimore City (pt.),2,26,29,2225,135,2379
Baltimore City (pt.),2,26,30,496,72,578
Baltimore City (pt.),2,26,31,384,107,502
Baltimore City (pt.),2,26,32,884,40,928
Baltimore City (pt.),2,26,33,827,27,861
Baltimore City (pt.),2,27,1,1186,145,1353
Baltimore City (pt.),3,27,2,436,59,505
Baltimore City (pt.),3,27,3,402,50,456
Baltimore City (pt.),3,27,4,318,45,371
Baltimore City (pt.),3,27,5,1308,204,1532
Baltimore City (pt.),2,27,6,1664,158,1838
Baltimore City (pt.),2,27,7,637,54,693
Baltimore City (pt.),2,27,8,1290,214,1521
Baltimore City (pt.),3,27,9,781,162,961
Baltimore City (pt.),3,27,10,313,141,463
Baltimore City (pt.),3,27,11,1089,358,1483
Baltimore City (pt.),3,27,12,289,92,387
Baltimore City (pt.),3,27,13,1296,206,1527
Baltimore City (pt.),7,27,14,1355,265,1652
Baltimore City (pt.),7,27,15,1187,91,1288
Baltimore City (pt.),7,27,16,406,47,460
Baltimore City (pt.),7,27,17,710,68,792
Baltimore City (pt.),7,27,18,991,102,1109
Baltimore City (pt.),7,27,19,405,14,420
Baltimore City (pt.),3,27,20,1438,65,1512
Baltimore City (pt.),7,27,21,1471,45,1536
Baltimore City (pt.),7,27,22,1597,51,1657
Baltimore City (pt.),7,27,23,380,15,397
Baltimore City (pt.),7,27,24,343,7,353
Baltimore City (pt.),7,27,25,761,27,794
