County,CD,Election District,Election Precinct,Biden,Trump,Total
Frederick (pt.),8,21,1,597,770,1392
Frederick (pt.),6,21,2,1018,462,1510
Frederick (pt.),8,21,3,732,430,1184
Frederick (pt.),6,21,4,1637,860,2561
Frederick (pt.),6,21,5,,,
Frederick (pt.),6,21,6,,,
Frederick (pt.),8,21,7,305,297,618
Frederick (pt.),6,21,8,8,9,18
Frederick (pt.),8,22,1,402,547,966
Frederick (pt.),6,22,2,2,,2
Frederick (pt.),8,23,1,2365,1515,3963
Frederick (pt.),6,23,2,25,8,33
Frederick (pt.),6,23,3,,,
Frederick (pt.),6,23,4,,,
Frederick (pt.),8,24,1,741,750,1526
Frederick (pt.),8,24,2,418,349,782
Frederick (pt.),8,24,3,289,201,503
Frederick (pt.),6,24,4,2,4,6
Frederick (pt.),6,24,5,470,273,752
Frederick (pt.),8,24,6,10,14,27
Frederick (pt.),6,25,1,1387,1231,2692
Frederick (pt.),8,26,1,1502,1432,3001
Frederick (pt.),8,26,2,1175,1156,2398
Garrett,6,1,0,290,774,1090
Garrett,6,2,0,187,743,945
Garrett,6,3,1,211,1067,1314
Garrett,6,3,2,71,320,396
Garrett,6,4,0,41,331,373
Garrett,6,5,0,231,830,1072
Garrett,6,6,0,357,843,1225
Garrett,6,7,0,335,867,1229
Garrett,6,8,1,56,352,413
Garrett,6,8,2,60,379,444
Garrett,6,9,0,130,555,698
Garrett,6,10,0,262,821,1109
Garrett,6,11,0,14,67,82
Garrett,6,12,0,71,369,446
Garrett,6,13,0,44,240,288
Garrett,6,14,1,413,1235,1681
Garrett,6,14,2,109,585,708
Garrett,6,15,0,67,264,337
Garrett,6,16,0,332,1358,1727
Garrett,6,Unassigned,,0,2,2
Harford (pt.),2,1,1,1685,660,2386
Harford (pt.),1,1,2,803,1063,1904
Harford (pt.),2,1,3,711,484,1213
Harford (pt.),2,1,4,1037,911,1990
Harford (pt.),2,1,5,1028,662,1728
Harford (pt.),2,1,6,1428,411,1874
Harford (pt.),1,1,7,412,935,1374
Harford (pt.),1,1,8,1490,1520,3076
Harford (pt.),1,1,9,871,998,1924
Harford (pt.),2,1,10,1639,1208,2908
Harford (pt.),1,1,11,883,1265,2212
Harford (pt.),1,1,12,1168,1356,2573
Harford (pt.),2,1,13,712,508,1244
Harford (pt.),1,1,14,1442,1847,3367
Harford (pt.),2,1,15,1152,1026,2244
Harford (pt.),2,1,16,1309,880,2247
Harford (pt.),1,1,17,106,251,367
Harford (pt.),2,1,18,839,773,1646
Harford (pt.),2,1,19,1473,652,2170
Harford (pt.),2,1,20,1845,895,2795
Harford (pt.),1,1,21,307,364,681
Harford (pt.),1,1,22,86,74,169
Harford (pt.),2,1,23,123,167,294
Harford (pt.),2,1,24,220,203,429
Harford (pt.),1,1,25,12,8,20
Harford (pt.),2,1,26,555,581,1165
Harford (pt.),1,1,27,605,682,1306
Harford (pt.),2,1,41,796,606,1427
Harford (pt.),2,1,45,753,1169,1972
Harford (pt.),1,2,1,630,311,962
Harford (pt.),1,2,2,935,1776,2764
Harford (pt.),2,2,3,574,574,1172
Harford (pt.),1,2,4,37,93,138
Harford (pt.),1,2,5,25,88,120
Harford (pt.),2,2,6,,,
Harford (pt.),2,2,7,112,64,178
Harford (pt.),2,2,10,1180,698,1927
Harford (pt.),2,2,11,1118,933,2097
Harford (pt.),2,2,14,752,447,1242
Harford (pt.),2,2,15,937,590,1562
Harford (pt.),2,2,19,385,198,592
Harford (pt.),1,2,20,4,36,40
Harford (pt.),1,2,21,30,49,80
Harford (pt.),1,2,22,7,23,35
Harford (pt.),1,3,2,755,1389,2184
Harford (pt.),1,3,3,922,2201,3196
Harford (pt.),1,3,4,366,1003,1395
Harford (pt.),1,3,5,823,2067,2966
Harford (pt.),1,3,6,840,1718,2611
Harford (pt.),1,3,7,906,1673,2630
Harford (pt.),1,3,8,941,1574,2564
Harford (pt.),1,3,9,1067,1693,2818
Harford (pt.),1,3,10,1049,1294,2399
Harford (pt.),1,3,11,631,881,1567
Harford (pt.),1,3,12,793,938,1782
Harford (pt.),1,3,13,984,1532,2567
Harford (pt.),1,3,14,895,1367,2301
Harford (pt.),1,3,15,835,1125,2003
Harford (pt.),1,3,16,870,1131,2040
Harford (pt.),1,3,17,873,1180,2093
Harford (pt.),1,3,18,892,963,1900
Harford (pt.),1,3,19,857,1381,2295
Harford (pt.),1,3,20,672,1408,2123
Harford (pt.),1,3,21,1076,1364,2502
Harford (pt.),1,3,22,1073,1674,2813
Harford (pt.),1,3,23,1065,1481,2594
Harford (pt.),1,3,24,622,1318,1983
Harford (pt.),1,3,25,,,
Harford (pt.),1,3,26,192,513,721
Harford (pt.),1,3,27,108,158,274
Harford (pt.),1,4,1,480,1023,1535
Harford (pt.),1,4,2,741,1520,2313
Harford (pt.),1,4,3,527,1691,2275
Harford (pt.),1,4,4,572,1751,2360
Harford (pt.),1,4,5,954,1923,2942
Harford (pt.),1,4,6,486,1241,1753
Harford (pt.),1,4,7,343,852,1230
Harford (pt.),1,4,8,,,
Harford (pt.),1,5,1,401,1639,2082
Harford (pt.),1,5,2,477,1481,1998
Harford (pt.),1,5,3,454,1719,2215
Harford (pt.),1,5,4,355,820,1195
Harford (pt.),2,6,1,863,584,1484
Harford (pt.),2,6,2,991,943,1974
Harford (pt.),2,6,3,745,716,1490
Harford (pt.),1,6,4,54,83,138
Harford (pt.),2,6,5,247,79,329
Harford (pt.),2,6,6,1981,1622,3687
Harford (pt.),2,6,7,101,178,286
Howard (pt.),3,1,1,1253,694,1990
Howard (pt.),3,1,2,274,220,505
Howard (pt.),2,1,3,1297,396,1730
Howard (pt.),7,1,4,1739,856,2640
Howard (pt.),7,1,5,412,163,588
Howard (pt.),2,1,6,829,372,1229
Howard (pt.),3,1,7,552,197,766
Howard (pt.),3,1,8,919,527,1482
Howard (pt.),2,1,9,1046,358,1429
Howard (pt.),7,1,10,955,340,1326
Howard (pt.),7,1,11,603,296,914
Howard (pt.),3,1,12,536,244,799
Howard (pt.),2,1,13,740,476,1247
Howard (pt.),3,1,14,1018,526,1576
Howard (pt.),2,1,15,2752,612,3430
Howard (pt.),2,1,16,311,217,541
Howard (pt.),3,1,17,524,125,660
Howard (pt.),3,1,18,169,120,298
Howard (pt.),7,1,19,77,36,116
Howard (pt.),7,1,20,253,193,454
Howard (pt.),2,1,21,1572,333,1939
Howard (pt.),7,2,1,1339,496,1865
Howard (pt.),7,2,2,1673,719,2435
Howard (pt.),7,2,3,1611,762,2417
Howard (pt.),7,2,4,1115,327,1473
Howard (pt.),7,2,5,935,356,1315
Howard (pt.),7,2,6,862,392,1278
Howard (pt.),7,2,7,962,544,1536
Howard (pt.),7,2,8,1482,699,2219
Howard (pt.),7,2,9,1553,540,2122
Howard (pt.),7,2,10,877,318,1214
Howard (pt.),7,2,11,1344,694,2065
Howard (pt.),7,2,12,1573,749,2369
Howard (pt.),7,2,13,624,201,842
Howard (pt.),7,2,14,703,128,839
Howard (pt.),7,2,15,1243,555,1834
Howard (pt.),7,2,16,1603,665,2313
Howard (pt.),7,2,17,301,95,402
Howard (pt.),7,2,18,1228,573,1846
Howard (pt.),7,2,19,864,442,1340
Howard (pt.),7,2,20,618,201,833
Howard (pt.),7,2,21,212,90,311
Howard (pt.),7,2,22,36,9,45
Howard (pt.),7,2,23,847,219,1087
Howard (pt.),7,2,24,784,393,1196
Howard (pt.),7,2,25,887,374,1294
Howard (pt.),7,2,26,1054,459,1547
Howard (pt.),7,3,1,811,597,1432
Howard (pt.),7,3,2,1500,1326,2882
Howard (pt.),7,3,3,1245,744,2018
Howard (pt.),7,3,4,140,64,206
Howard (pt.),7,3,5,2084,1341,3480
Howard (pt.),7,3,6,901,684,1626
Howard (pt.),7,4,1,527,652,1204
Howard (pt.),7,4,2,788,672,1497
Howard (pt.),7,4,3,721,901,1661
Howard (pt.),7,4,4,949,1096,2080
Howard (pt.),7,4,5,561,802,1391
Howard (pt.),7,4,6,1028,969,2039
Howard (pt.),7,5,1,1929,1023,3001
Howard (pt.),7,5,2,579,117,706
Howard (pt.),7,5,3,1909,278,2229
Howard (pt.),7,5,4,2129,394,2568
Howard (pt.),3,5,5,1700,734,2476
Howard (pt.),3,5,6,2761,1050,3895
Howard (pt.),7,5,7,1157,218,1409
Howard (pt.),7,5,8,1318,204,1555
Howard (pt.),7,5,9,1194,248,1466
Howard (pt.),3,5,10,1832,620,2500
Howard (pt.),7,5,11,728,433,1182
Howard (pt.),7,5,12,1184,219,1432
Howard (pt.),7,5,13,682,176,875
Howard (pt.),7,5,14,564,181,765
Howard (pt.),7,5,15,1794,360,2204
Howard (pt.),7,5,16,1230,249,1514
Howard (pt.),7,5,17,1085,290,1398
Howard (pt.),7,5,18,896,159,1066
Howard (pt.),7,5,19,1309,838,2178
Howard (pt.),3,5,20,1188,663,1880
Howard (pt.),7,5,21,1474,220,1725
Howard (pt.),3,5,22,2192,627,2874
Howard (pt.),7,5,23,1116,190,1326
Howard (pt.),7,5,24,537,280,833
Howard (pt.),2,6,1,1005,402,1448
Howard (pt.),2,6,2,1775,395,2214
Howard (pt.),3,6,3,783,308,1133
Howard (pt.),3,6,4,1331,473,1852
Howard (pt.),3,6,5,960,264,1251
Howard (pt.),7,6,6,792,166,985
Howard (pt.),2,6,7,868,300,1190
Howard (pt.),3,6,8,947,153,1119
Howard (pt.),7,6,9,1201,188,1423
Howard (pt.),7,6,10,1122,252,1407
Howard (pt.),3,6,11,1202,264,1506
Howard (pt.),3,6,12,505,110,629
Howard (pt.),3,6,13,896,256,1179
Howard (pt.),7,6,14,1100,202,1331
Howard (pt.),3,6,15,1080,297,1406
Howard (pt.),3,6,16,1527,293,1844
Howard (pt.),3,6,17,1361,245,1635
Howard (pt.),3,6,18,1024,255,1303
Howard (pt.),3,6,19,1509,245,1777
Howard (pt.),3,6,20,1261,261,1555
Howard (pt.),3,6,21,752,163,931
Howard (pt.),3,6,22,1135,181,1339
Howard (pt.),3,6,23,522,158,689
Howard (pt.),3,6,24,1379,414,1825
Howard (pt.),3,6,25,509,199,723
Howard (pt.),3,6,26,1617,334,1996
Howard (pt.),2,6,27,1373,316,1718
Howard (pt.),3,6,28,1671,703,2415
Howard (pt.),3,6,29,2758,660,3469
Howard (pt.),2,6,30,783,196,989
Howard (pt.),3,6,31,903,147,1068
Howard (pt.),3,6,32,935,483,1451
Howard (pt.),2,6,33,1090,336,1471
Howard (pt.),3,6,34,1060,244,1322
Howard (pt.),2,6,35,2794,607,3462
Kent,1,1,1,324,499,841
Kent,1,1,2,451,739,1216
Kent,1,2,1,384,630,1035
Kent,1,3,1,554,623,1204
Kent,1,3,2,212,165,386
Kent,1,4,1,1107,509,1645
Kent,1,4,2,732,355,1118
Kent,1,5,1,607,804,1435
Kent,1,6,1,449,526,995
Kent,1,7,1,509,345,865
Montgomery (pt.),8,1,1,1132,863,2025
Montgomery (pt.),6,1,2,1318,754,2105
Montgomery (pt.),6,1,3,2428,633,3114
Montgomery (pt.),6,1,4,1149,366,1559
Montgomery (pt.),6,1,5,1510,810,2346
Montgomery (pt.),6,1,6,1004,387,1419
Montgomery (pt.),3,1,7,227,141,373
Montgomery (pt.),6,2,1,2987,840,3905
Montgomery (pt.),6,2,2,2515,663,3243
Montgomery (pt.),6,2,3,2384,518,2965
Montgomery (pt.),6,2,4,2777,695,3553
Montgomery (pt.),6,2,5,2061,560,2681
Montgomery (pt.),6,2,6,3223,1017,4297
Montgomery (pt.),8,2,7,50,23,74
Montgomery (pt.),6,2,8,3129,1148,4337
Montgomery (pt.),6,2,9,249,192,448
Montgomery (pt.),6,2,10,1133,300,1460
Montgomery (pt.),6,2,11,2245,732,3015
Montgomery (pt.),6,3,1,1497,875,2420
Montgomery (pt.),6,3,2,1217,738,1986
Montgomery (pt.),8,4,1,2249,501,2807
Montgomery (pt.),8,4,2,2134,395,2585
Montgomery (pt.),8,4,3,3060,595,3717
Montgomery (pt.),8,4,4,1554,232,1819
Montgomery (pt.),8,4,5,1692,493,2226
Montgomery (pt.),8,4,6,1447,407,1894
Montgomery (pt.),8,4,7,1482,396,1914
Montgomery (pt.),8,4,8,3078,492,3615
Montgomery (pt.),8,4,9,1007,224,1260
Montgomery (pt.),8,4,10,1787,401,2210
Montgomery (pt.),8,4,11,469,147,621
Montgomery (pt.),6,4,12,2219,616,2876
Montgomery (pt.),8,4,13,1517,293,1834
Montgomery (pt.),8,4,14,2521,475,3049
Montgomery (pt.),8,4,15,908,218,1147
Montgomery (pt.),8,4,16,2607,749,3413
Montgomery (pt.),8,4,17,2212,427,2676
Montgomery (pt.),8,4,18,2054,494,2577
Montgomery (pt.),6,4,19,1136,355,1512
Montgomery (pt.),6,4,20,2537,755,3327
Montgomery (pt.),8,4,21,1806,408,2241
Montgomery (pt.),6,4,23,162,66,228
Montgomery (pt.),8,4,24,1669,497,2195
Montgomery (pt.),8,4,25,1102,317,1433
Montgomery (pt.),8,4,26,1226,361,1615
Montgomery (pt.),8,4,27,344,56,411
Montgomery (pt.),8,4,28,852,149,1019
Montgomery (pt.),8,4,29,791,260,1061
Montgomery (pt.),8,4,30,1862,400,2300
Montgomery (pt.),8,4,31,2028,380,2452
Montgomery (pt.),6,4,32,904,242,1157
Montgomery (pt.),8,4,33,383,43,436
Montgomery (pt.),6,4,34,1058,400,1485
Montgomery (pt.),6,4,35,207,79,288
Montgomery (pt.),8,4,36,,,
Montgomery (pt.),8,4,37,174,17,195
Montgomery (pt.),8,4,38,48,15,63
Montgomery (pt.),8,4,40,122,6,133
Montgomery (pt.),8,4,41,,,
Montgomery (pt.),6,4,42,7,1,8
Montgomery (pt.),8,4,43,15,4,20
Montgomery (pt.),8,5,1,2156,556,2771
Montgomery (pt.),3,5,2,2134,239,2410
Montgomery (pt.),3,5,3,2580,474,3099
Montgomery (pt.),3,5,4,1234,182,1430
Montgomery (pt.),8,5,5,1825,329,2196
Montgomery (pt.),3,5,6,2544,470,3071
Montgomery (pt.),8,5,8,2090,399,2529
Montgomery (pt.),8,5,9,2491,595,3130
Montgomery (pt.),3,5,10,1307,210,1541
Montgomery (pt.),8,5,11,1651,323,2000
Montgomery (pt.),3,5,12,3060,588,3715
Montgomery (pt.),3,5,13,2479,242,2768
Montgomery (pt.),8,5,14,944,269,1241
Montgomery (pt.),3,5,15,2084,711,2852
Montgomery (pt.),8,5,16,2184,468,2685
Montgomery (pt.),3,5,17,2348,460,2859
Montgomery (pt.),3,5,18,930,431,1386
Montgomery (pt.),3,5,19,1990,609,2649
Montgomery (pt.),3,5,21,2353,243,2646
Montgomery (pt.),8,5,22,987,231,1237
Montgomery (pt.),3,5,23,3474,530,4078
Montgomery (pt.),6,6,1,1278,574,1879
Montgomery (pt.),6,6,2,2043,779,2862
Montgomery (pt.),6,6,3,1494,466,2005
Montgomery (pt.),6,6,4,1517,350,1911
Montgomery (pt.),6,6,5,2300,739,3083
Montgomery (pt.),6,6,6,1746,562,2343
Montgomery (pt.),6,6,7,2455,766,3297
Montgomery (pt.),6,6,8,1303,336,1661
Montgomery (pt.),6,6,9,1638,793,2475
Montgomery (pt.),6,6,10,1963,501,2517
Montgomery (pt.),6,6,11,50,12,62
Montgomery (pt.),6,6,13,1175,340,1526
Montgomery (pt.),8,6,14,820,229,1075
Montgomery (pt.),6,6,15,2444,816,3328
Montgomery (pt.),6,6,16,,,
Montgomery (pt.),8,7,1,1141,176,1342
Montgomery (pt.),8,7,2,1520,245,1785
Montgomery (pt.),8,7,3,2188,313,2532
Montgomery (pt.),8,7,4,3284,484,3811
Montgomery (pt.),8,7,5,1639,209,1883
Montgomery (pt.),8,7,6,1800,238,2058
Montgomery (pt.),8,7,7,1538,145,1697
Montgomery (pt.),8,7,8,2792,371,3199
Montgomery (pt.),8,7,9,1792,268,2078
Montgomery (pt.),8,7,10,2144,351,2528
Montgomery (pt.),8,7,11,2407,274,2703
Montgomery (pt.),8,7,12,2151,264,2442
Montgomery (pt.),8,7,13,2145,408,2593
Montgomery (pt.),8,7,15,2453,525,3003
Montgomery (pt.),8,7,16,1466,222,1716
Montgomery (pt.),8,7,18,1954,217,2197
Montgomery (pt.),8,7,19,3015,504,3565
Montgomery (pt.),8,7,20,1590,356,1973
Montgomery (pt.),8,7,21,923,147,1086
Montgomery (pt.),8,7,22,1658,243,1918
Montgomery (pt.),8,7,23,2850,564,3457
Montgomery (pt.),8,7,24,1778,335,2135
Montgomery (pt.),8,7,25,1811,346,2189
Montgomery (pt.),8,7,26,2684,387,3103
Montgomery (pt.),8,7,27,1304,206,1536
Montgomery (pt.),8,7,28,1283,256,1554
Montgomery (pt.),8,7,31,680,131,820
Montgomery (pt.),8,7,32,957,266,1232
Montgomery (pt.),3,8,1,2164,793,3010
Montgomery (pt.),3,8,2,2362,909,3323
Montgomery (pt.),6,8,3,1732,637,2412
Montgomery (pt.),8,8,4,770,342,1132
Montgomery (pt.),3,8,5,1383,781,2199
Montgomery (pt.),3,8,6,2489,996,3557
Montgomery (pt.),3,8,7,2135,898,3083
Montgomery (pt.),8,8,8,1847,780,2680
Montgomery (pt.),3,8,9,2025,746,2827
Montgomery (pt.),3,8,10,1292,390,1709
Montgomery (pt.),3,8,11,1694,443,2166
Montgomery (pt.),3,8,12,1781,654,2475
Montgomery (pt.),8,8,14,24,6,31
Montgomery (pt.),8,8,15,440,105,551
Montgomery (pt.),6,9,1,2232,537,2816
Montgomery (pt.),6,9,2,2601,716,3399
Montgomery (pt.),6,9,3,1221,342,1592
Montgomery (pt.),6,9,4,1555,471,2070
Montgomery (pt.),6,9,5,1608,454,2103
Montgomery (pt.),6,9,6,2154,563,2771
Montgomery (pt.),6,9,7,1862,387,2311
Montgomery (pt.),6,9,8,2222,472,2755
Montgomery (pt.),6,9,9,2480,531,3069
Montgomery (pt.),6,9,10,497,136,655
Montgomery (pt.),6,9,11,1481,414,1935
Montgomery (pt.),6,9,12,1665,445,2157
Montgomery (pt.),6,9,13,2072,585,2710
Montgomery (pt.),6,9,14,1709,475,2232
Montgomery (pt.),6,9,15,1638,367,2069
Montgomery (pt.),6,9,16,1282,303,1635
Montgomery (pt.),6,9,18,1510,376,1932
Montgomery (pt.),6,9,20,1267,363,1658
Montgomery (pt.),6,9,21,1314,443,1801
Montgomery (pt.),6,9,22,2058,535,2658
Montgomery (pt.),6,9,24,1270,328,1631
Montgomery (pt.),6,9,25,1320,467,1825
Montgomery (pt.),6,9,26,1659,390,2097
Montgomery (pt.),6,9,27,2407,576,3041
Montgomery (pt.),6,9,28,765,150,922
Montgomery (pt.),6,9,29,1493,349,1887
Montgomery (pt.),6,9,30,1630,447,2112
Montgomery (pt.),8,9,31,2515,483,3038
Montgomery (pt.),6,9,32,345,68,426
Montgomery (pt.),6,9,33,1715,356,2117
Montgomery (pt.),6,9,34,1802,414,2259
Montgomery (pt.),6,9,35,2795,751,3582
Montgomery (pt.),6,9,36,1335,395,1778
Montgomery (pt.),6,9,37,1104,333,1475
Montgomery (pt.),6,9,38,331,53,390
Montgomery (pt.),6,9,39,14,11,26
Montgomery (pt.),6,9,40,1757,408,2193
Montgomery (pt.),6,9,41,1381,303,1714
Montgomery (pt.),6,10,1,894,392,1312
Montgomery (pt.),8,10,2,1422,685,2129
Montgomery (pt.),6,10,3,1537,412,1985
Montgomery (pt.),6,10,4,1013,267,1289
Montgomery (pt.),6,10,5,1631,414,2071
Montgomery (pt.),6,10,6,1651,376,2054
Montgomery (pt.),8,10,7,1733,532,2288
Montgomery (pt.),6,10,9,1457,670,2160
Montgomery (pt.),8,10,10,1826,575,2431
Montgomery (pt.),6,10,11,1132,294,1444
Montgomery (pt.),6,10,12,1909,474,2410
Montgomery (pt.),6,10,13,1132,289,1436
Montgomery (pt.),6,11,0,883,580,1490
Montgomery (pt.),8,12,1,926,962,1912
Montgomery (pt.),8,12,2,1039,962,2046
Montgomery (pt.),8,12,3,1720,1317,3092
Montgomery (pt.),6,12,4,1233,744,2022
Montgomery (pt.),6,12,5,1520,860,2454
Montgomery (pt.),8,13,1,1674,373,2071
Montgomery (pt.),8,13,2,3873,729,4674
Montgomery (pt.),8,13,3,1704,281,2004
Montgomery (pt.),8,13,4,2902,130,3075
Montgomery (pt.),8,13,5,2991,212,3259
Montgomery (pt.),8,13,6,2023,60,2106
Montgomery (pt.),8,13,7,1999,156,2185
Montgomery (pt.),8,13,8,1792,152,1971
Montgomery (pt.),8,13,10,1530,90,1644
Montgomery (pt.),8,13,11,2190,336,2563
Montgomery (pt.),8,13,13,1997,152,2185
Montgomery (pt.),8,13,14,2243,202,2483
Montgomery (pt.),8,13,15,2874,415,3343
Montgomery (pt.),8,13,16,1573,129,1727
Montgomery (pt.),8,13,18,1690,145,1864
Montgomery (pt.),8,13,19,1645,223,1894
Montgomery (pt.),8,13,20,1141,563,1726
Montgomery (pt.),8,13,21,2623,173,2855
Montgomery (pt.),8,13,22,1979,174,2196
Montgomery (pt.),8,13,23,1851,350,2224
Montgomery (pt.),8,13,24,1622,232,1882
Montgomery (pt.),8,13,25,2000,433,2485
Montgomery (pt.),8,13,27,1887,322,2261
Montgomery (pt.),8,13,28,1056,206,1291
Montgomery (pt.),8,13,29,1899,356,2306
Montgomery (pt.),8,13,30,1604,365,2013
Montgomery (pt.),8,13,31,1251,185,1459
Montgomery (pt.),8,13,32,2470,291,2806
Montgomery (pt.),8,13,33,1132,420,1586
Montgomery (pt.),8,13,34,1539,303,1880
Montgomery (pt.),8,13,35,1470,382,1885
Montgomery (pt.),8,13,36,1398,380,1818
Montgomery (pt.),6,13,37,1036,362,1436
Montgomery (pt.),8,13,38,2891,835,3793
Montgomery (pt.),8,13,39,1757,165,1944
Montgomery (pt.),8,13,40,1564,335,1943
Montgomery (pt.),8,13,42,1021,151,1189
Montgomery (pt.),8,13,43,1214,382,1638
Montgomery (pt.),8,13,44,2100,426,2566
Montgomery (pt.),6,13,45,964,250,1248
Montgomery (pt.),6,13,46,1272,519,1818
Montgomery (pt.),8,13,47,3142,162,3364
Montgomery (pt.),8,13,49,1074,188,1283
Montgomery (pt.),8,13,50,1719,90,1827
Montgomery (pt.),6,13,51,1834,537,2412
Montgomery (pt.),6,13,52,1343,385,1749
Montgomery (pt.),8,13,53,1165,215,1409
Montgomery (pt.),8,13,54,1658,427,2098
Montgomery (pt.),8,13,55,1030,137,1186
Montgomery (pt.),8,13,56,2224,424,2691
Montgomery (pt.),8,13,57,563,158,733
Montgomery (pt.),8,13,58,2644,386,3080
Montgomery (pt.),8,13,59,1282,203,1507
Montgomery (pt.),3,13,60,24,17,42
Montgomery (pt.),8,13,61,3349,749,4175
Montgomery (pt.),8,13,63,687,141,842
Montgomery (pt.),8,13,64,1766,236,2040
Montgomery (pt.),8,13,65,1090,64,1183
Montgomery (pt.),8,13,67,1327,53,1396
Montgomery (pt.),8,13,68,1600,112,1741
Montgomery (pt.),8,13,69,1561,460,2027
Montgomery (pt.),8,13,70,117,40,159
Montgomery (pt.),8,13,71,1384,317,1712
Prince George's (pt.),4,1,1,2379,537,2962
Prince George's (pt.),5,1,2,809,197,1030
Prince George's (pt.),4,1,3,1796,246,2086
Prince George's (pt.),5,1,4,1309,383,1730
