County,CD,Election District,Election Precinct,Biden,Trump,Total
Prince George's (pt.),5,1,5,1314,407,1752
Prince George's (pt.),5,1,6,1077,149,1249
Prince George's (pt.),4,1,7,1049,153,1212
Prince George's (pt.),5,1,8,394,48,450
Prince George's (pt.),4,2,1,895,66,979
Prince George's (pt.),4,2,2,825,116,977
Prince George's (pt.),4,2,3,1601,159,1797
Prince George's (pt.),4,2,4,892,130,1049
Prince George's (pt.),4,2,5,819,105,937
Prince George's (pt.),5,2,6,1700,201,1944
Prince George's (pt.),4,2,7,1271,172,1463
Prince George's (pt.),4,2,8,2165,165,2388
Prince George's (pt.),4,2,9,1783,132,1957
Prince George's (pt.),4,2,10,1202,110,1340
Prince George's (pt.),4,2,96,,,
Prince George's (pt.),4,2,97,,,
Prince George's (pt.),4,2,98,,,
Prince George's (pt.),4,2,99,,,
Prince George's (pt.),5,3,1,761,152,927
Prince George's (pt.),5,3,2,2136,147,2314
Prince George's (pt.),4,3,3,4948,307,5293
Prince George's (pt.),4,3,4,1910,75,2015
Prince George's (pt.),4,3,5,1761,79,1865
Prince George's (pt.),4,3,6,2432,110,2569
Prince George's (pt.),4,3,7,393,13,409
Prince George's (pt.),5,3,8,156,74,236
Prince George's (pt.),5,4,1,872,502,1395
Prince George's (pt.),5,5,1,3544,340,3942
Prince George's (pt.),5,5,2,1435,133,1587
Prince George's (pt.),5,5,3,1824,145,1988
Prince George's (pt.),5,5,4,2425,146,2607
Prince George's (pt.),5,5,5,2463,230,2734
Prince George's (pt.),5,5,6,2239,190,2460
Prince George's (pt.),5,5,7,2326,259,2628
Prince George's (pt.),5,5,8,1201,316,1551
Prince George's (pt.),5,5,9,374,40,427
Prince George's (pt.),5,5,10,701,86,798
Prince George's (pt.),5,5,11,1463,109,1593
Prince George's (pt.),5,5,12,2336,181,2571
Prince George's (pt.),4,6,1,2104,91,2233
Prince George's (pt.),4,6,2,813,50,878
Prince George's (pt.),4,6,3,2454,81,2574
Prince George's (pt.),4,6,4,1809,63,1911
Prince George's (pt.),4,6,5,1233,59,1311
Prince George's (pt.),4,6,6,1788,65,1884
Prince George's (pt.),4,6,7,2404,91,2525
Prince George's (pt.),4,6,8,1251,51,1316
Prince George's (pt.),4,6,9,1266,41,1330
Prince George's (pt.),4,6,10,1788,70,1897
Prince George's (pt.),4,6,11,1544,63,1627
Prince George's (pt.),4,6,12,1148,34,1200
Prince George's (pt.),4,6,13,1695,141,1859
Prince George's (pt.),4,6,14,292,18,314
Prince George's (pt.),4,6,15,1858,40,1942
Prince George's (pt.),4,6,16,1792,60,1887
Prince George's (pt.),4,6,17,2117,52,2205
Prince George's (pt.),4,6,18,1301,91,1412
Prince George's (pt.),4,6,19,1421,44,1494
Prince George's (pt.),4,6,20,2173,74,2278
Prince George's (pt.),4,6,21,446,12,462
Prince George's (pt.),4,6,22,2479,71,2581
Prince George's (pt.),4,6,23,1118,61,1193
Prince George's (pt.),4,6,24,568,25,599
Prince George's (pt.),4,6,25,281,5,292
Prince George's (pt.),4,6,26,967,38,1022
Prince George's (pt.),4,6,27,781,90,885
Prince George's (pt.),4,6,28,567,54,626
Prince George's (pt.),4,6,29,561,20,583
Prince George's (pt.),4,6,97,,,
Prince George's (pt.),4,6,98,,,
Prince George's (pt.),4,6,99,,,
Prince George's (pt.),4,7,1,750,61,820
Prince George's (pt.),5,7,2,799,330,1154
Prince George's (pt.),5,7,3,1107,431,1577
Prince George's (pt.),5,7,4,1114,440,1588
Prince George's (pt.),5,7,5,1409,519,1973
Prince George's (pt.),5,7,6,1559,267,1852
Prince George's (pt.),5,7,7,2121,308,2463
Prince George's (pt.),5,7,8,1524,196,1755
Prince George's (pt.),5,7,9,3264,202,3493
Prince George's (pt.),5,7,10,2870,288,3197
Prince George's (pt.),4,7,11,3465,146,3643
Prince George's (pt.),4,7,12,2012,66,2099
Prince George's (pt.),4,7,13,1736,115,1880
Prince George's (pt.),5,7,14,1139,251,1413
Prince George's (pt.),4,7,15,1465,48,1526
Prince George's (pt.),5,7,16,969,242,1227
Prince George's (pt.),5,7,17,1107,90,1208
Prince George's (pt.),4,7,18,671,52,733
Prince George's (pt.),4,7,19,160,13,173
Prince George's (pt.),4,7,20,256,46,308
Prince George's (pt.),4,7,21,400,101,505
Prince George's (pt.),4,7,22,3485,289,3827
Prince George's (pt.),4,7,23,1632,50,1694
Prince George's (pt.),4,7,24,435,45,481
Prince George's (pt.),4,7,99,,,
Prince George's (pt.),5,8,1,687,421,1135
Prince George's (pt.),5,9,1,2666,168,2870
Prince George's (pt.),5,9,2,828,43,880
Prince George's (pt.),4,9,3,283,92,388
Prince George's (pt.),5,9,4,1535,107,1663
Prince George's (pt.),5,9,5,1937,115,2079
Prince George's (pt.),5,9,6,2433,148,2606
Prince George's (pt.),5,9,7,2608,147,2791
Prince George's (pt.),5,9,8,3768,169,3975
Prince George's (pt.),5,9,9,837,138,990
Prince George's (pt.),5,9,10,1600,129,1757
Prince George's (pt.),5,9,11,2714,226,2980
Prince George's (pt.),4,9,12,126,11,139
Prince George's (pt.),5,9,13,1627,98,1752
Prince George's (pt.),4,9,14,,,
Prince George's (pt.),5,9,15,5,,5
Prince George's (pt.),4,9,99,,,
Prince George's (pt.),4,10,1,943,124,1091
Prince George's (pt.),4,10,2,2339,442,2840
Prince George's (pt.),4,10,3,1088,244,1357
Prince George's (pt.),4,10,4,1801,206,2053
Prince George's (pt.),4,10,5,1949,749,2766
Prince George's (pt.),5,10,6,2810,368,3237
Prince George's (pt.),4,10,7,1194,172,1397
Prince George's (pt.),4,10,8,1011,180,1213
Prince George's (pt.),4,10,9,1462,209,1711
Prince George's (pt.),4,10,10,1151,183,1352
Prince George's (pt.),5,10,11,1360,159,1560
Prince George's (pt.),4,10,12,3337,496,3914
Prince George's (pt.),4,10,13,3328,510,3899
Prince George's (pt.),4,10,14,588,29,627
Prince George's (pt.),5,11,1,2050,292,2360
Prince George's (pt.),5,11,2,2152,213,2395
Prince George's (pt.),5,11,3,2585,150,2765
Prince George's (pt.),5,11,4,3823,411,4287
Prince George's (pt.),5,11,5,332,28,364
Prince George's (pt.),4,12,1,1003,143,1162
Prince George's (pt.),4,12,2,1043,70,1128
Prince George's (pt.),4,12,3,1379,54,1450
Prince George's (pt.),4,12,4,2196,97,2326
Prince George's (pt.),4,12,5,1746,159,1944
Prince George's (pt.),4,12,6,1821,54,1903
Prince George's (pt.),4,12,7,1394,72,1482
Prince George's (pt.),4,12,8,1411,91,1521
Prince George's (pt.),4,12,9,1575,52,1653
Prince George's (pt.),4,12,10,1582,181,1777
Prince George's (pt.),4,12,11,2398,159,2606
Prince George's (pt.),4,12,12,1856,85,1962
Prince George's (pt.),4,12,13,2129,70,2224
Prince George's (pt.),4,12,14,1555,177,1761
Prince George's (pt.),4,12,15,1830,91,1948
Prince George's (pt.),4,12,16,1397,48,1462
Prince George's (pt.),4,12,17,317,13,334
Prince George's (pt.),4,12,18,286,20,308
Prince George's (pt.),4,12,19,1224,155,1395
Prince George's (pt.),4,13,1,503,18,536
Prince George's (pt.),4,13,2,1380,61,1475
Prince George's (pt.),4,13,3,1064,62,1140
Prince George's (pt.),4,13,4,1025,45,1077
Prince George's (pt.),4,13,5,2577,121,2720
Prince George's (pt.),4,13,6,2023,90,2138
Prince George's (pt.),4,13,7,3438,114,3604
Prince George's (pt.),4,13,8,809,39,865
Prince George's (pt.),4,13,9,2291,100,2421
Prince George's (pt.),4,13,10,3406,136,3591
Prince George's (pt.),4,13,11,2169,74,2270
Prince George's (pt.),4,13,12,2425,97,2552
Prince George's (pt.),4,13,13,1539,66,1616
Prince George's (pt.),4,13,14,3213,148,3396
Prince George's (pt.),4,13,15,2626,179,2835
Prince George's (pt.),4,13,16,2048,60,2138
Prince George's (pt.),4,13,17,1203,53,1281
Prince George's (pt.),4,13,18,849,31,896
Prince George's (pt.),4,13,19,73,4,77
Prince George's (pt.),4,13,20,404,13,426
Prince George's (pt.),4,13,21,1185,54,1252
Prince George's (pt.),4,13,22,473,21,504
Prince George's (pt.),4,13,23,539,22,567
Prince George's (pt.),4,13,24,678,23,714
Prince George's (pt.),4,13,25,208,17,227
Prince George's (pt.),4,13,99,,,
Prince George's (pt.),5,14,1,1818,296,2141
Prince George's (pt.),5,14,2,2598,210,2849
Prince George's (pt.),5,14,3,1234,489,1741
Prince George's (pt.),5,14,4,1012,405,1446
Prince George's (pt.),5,14,5,907,361,1303
Prince George's (pt.),5,14,6,759,336,1128
Prince George's (pt.),5,14,7,1817,226,2069
Prince George's (pt.),5,14,8,1459,146,1626
Prince George's (pt.),5,14,9,2281,335,2655
Prince George's (pt.),5,14,10,1064,150,1225
Prince George's (pt.),5,14,11,607,141,754
Prince George's (pt.),5,14,12,1641,275,1947
Prince George's (pt.),5,14,13,875,122,1007
Prince George's (pt.),5,14,14,28,10,40
Prince George's (pt.),5,14,15,352,48,407
Prince George's (pt.),5,14,16,149,31,184
Prince George's (pt.),5,14,17,32,4,36
Prince George's (pt.),5,14,99,,,
Prince George's (pt.),5,15,1,2921,216,3181
Prince George's (pt.),4,15,2,2956,140,3145
Prince George's (pt.),5,15,3,1931,111,2064
Prince George's (pt.),5,15,4,2612,213,2852
Prince George's (pt.),4,15,5,5773,292,6115
Prince George's (pt.),5,15,6,2356,192,2568
Prince George's (pt.),4,16,1,344,60,415
Prince George's (pt.),4,16,2,495,90,602
Prince George's (pt.),5,16,3,2853,352,3264
Prince George's (pt.),4,16,4,1607,206,1859
Prince George's (pt.),4,16,5,67,16,87
Prince George's (pt.),4,16,98,,,
Prince George's (pt.),4,16,99,,,
Prince George's (pt.),4,17,1,2293,192,2520
Prince George's (pt.),4,17,2,1110,128,1263
Prince George's (pt.),4,17,3,1026,125,1174
Prince George's (pt.),4,17,4,1359,92,1478
Prince George's (pt.),4,17,5,696,57,769
Prince George's (pt.),4,17,6,698,67,782
Prince George's (pt.),4,17,7,1937,148,2122
Prince George's (pt.),4,17,8,855,57,926
Prince George's (pt.),4,17,9,845,144,1001
Prince George's (pt.),4,17,10,1862,196,2095
Prince George's (pt.),4,17,11,1591,160,1793
Prince George's (pt.),4,17,12,1380,136,1539
Prince George's (pt.),4,17,13,177,18,197
Prince George's (pt.),4,17,14,1348,134,1506
Prince George's (pt.),4,17,15,169,17,190
Prince George's (pt.),4,18,1,1814,45,1886
Prince George's (pt.),4,18,2,884,33,941
Prince George's (pt.),4,18,3,859,24,907
Prince George's (pt.),4,18,4,1092,50,1161
Prince George's (pt.),4,18,5,690,28,738
Prince George's (pt.),4,18,6,2292,75,2397
Prince George's (pt.),4,18,7,1561,62,1642
Prince George's (pt.),4,18,8,1036,39,1100
Prince George's (pt.),4,18,9,1484,59,1570
Prince George's (pt.),4,18,10,721,22,755
Prince George's (pt.),4,18,11,1031,56,1103
Prince George's (pt.),4,18,12,98,5,105
Prince George's (pt.),4,18,13,509,22,538
Prince George's (pt.),4,18,14,110,6,119
Prince George's (pt.),4,18,15,41,1,43
Prince George's (pt.),4,18,16,7,,8
Prince George's (pt.),4,18,99,,,
Prince George's (pt.),5,19,1,1532,229,1808
Prince George's (pt.),5,19,2,1246,217,1501
Prince George's (pt.),5,19,3,1433,173,1630
Prince George's (pt.),4,19,4,697,89,800
Prince George's (pt.),4,19,5,3,,3
Prince George's (pt.),5,19,98,,,
Prince George's (pt.),5,19,99,,,
Prince George's (pt.),5,20,1,1766,233,2036
Prince George's (pt.),4,20,2,631,74,723
Prince George's (pt.),4,20,3,1434,75,1521
Prince George's (pt.),4,20,4,972,96,1093
Prince George's (pt.),5,20,5,1199,160,1385
Prince George's (pt.),5,20,6,1179,126,1327
Prince George's (pt.),4,20,7,794,37,845
Prince George's (pt.),4,20,8,716,29,758
Prince George's (pt.),4,20,9,1054,102,1175
Prince George's (pt.),5,20,10,517,74,601
Prince George's (pt.),4,20,11,1447,89,1558
Prince George's (pt.),4,20,12,892,41,943
Prince George's (pt.),4,20,13,355,18,378
Prince George's (pt.),4,20,14,135,17,155
Prince George's (pt.),4,20,15,99,8,107
Prince George's (pt.),4,20,16,316,16,335
Prince George's (pt.),4,20,17,,,
Prince George's (pt.),4,20,18,914,43,980
Prince George's (pt.),4,20,19,1156,114,1293
Prince George's (pt.),4,20,20,204,12,216
Prince George's (pt.),5,20,21,642,140,790
Prince George's (pt.),4,20,97,,,
Prince George's (pt.),4,20,98,,,
Prince George's (pt.),4,20,99,,,
Prince George's (pt.),5,21,1,1667,294,2007
Prince George's (pt.),5,21,2,934,168,1129
Prince George's (pt.),5,21,3,2187,230,2465
Prince George's (pt.),5,21,4,1178,214,1430
Prince George's (pt.),4,21,5,1010,179,1208
Prince George's (pt.),5,21,6,1608,266,1915
Prince George's (pt.),5,21,7,1143,286,1473
Prince George's (pt.),5,21,8,1958,149,2155
Prince George's (pt.),5,21,9,570,93,673
Prince George's (pt.),5,21,10,1105,280,1426
Prince George's (pt.),5,21,11,1595,175,1796
Prince George's (pt.),5,21,12,390,80,477
Prince George's (pt.),5,21,13,1949,158,2143
Prince George's (pt.),4,21,14,713,154,889
Prince George's (pt.),5,21,15,722,170,920
Prince George's (pt.),5,21,16,1062,133,1215
Prince George's (pt.),5,21,17,285,34,329
Prince George's (pt.),5,21,18,1963,160,2155
Prince George's (pt.),5,21,19,18,7,25
Prince George's (pt.),5,21,91,,,
Prince George's (pt.),5,21,92,,,
Prince George's (pt.),5,21,93,,,
Prince George's (pt.),5,21,94,,,
Prince George's (pt.),5,21,95,,,
Prince George's (pt.),5,21,96,,,
Prince George's (pt.),5,21,97,,,
Prince George's (pt.),5,21,98,,,
Prince George's (pt.),5,21,99,,,
Queen Anne's,1,1,1,294,1016,1341
Queen Anne's,1,2,1,932,1595,2581
Queen Anne's,1,3,2,2012,3367,5492
Queen Anne's,1,4,1,838,1417,2322
Queen Anne's,1,4,2,1754,2698,4544
Queen Anne's,1,4,3,1243,2163,3478
Queen Anne's,1,4,6,682,1318,2030
Queen Anne's,1,5,1,558,939,1527
Queen Anne's,1,5,2,1533,2305,3910
Queen Anne's,1,6,1,327,1053,1414
Queen Anne's,1,7,1,536,870,1440
St. Mary's,5,1,1,938,999,1996
St. Mary's,5,1,2,473,742,1248
St. Mary's,5,2,1,665,962,1676
St. Mary's,5,2,2,487,640,1158
St. Mary's,5,2,3,238,421,673
St. Mary's,5,2,4,223,291,545
St. Mary's,5,3,1,886,992,1922
St. Mary's,5,3,2,689,957,1678
St. Mary's,5,3,3,612,1011,1663
St. Mary's,5,3,4,654,863,1547
St. Mary's,5,3,5,566,987,1589
St. Mary's,5,3,6,672,603,1314
St. Mary's,5,4,1,623,1550,2214
St. Mary's,5,4,2,372,939,1330
St. Mary's,5,4,3,611,1237,1884
St. Mary's,5,5,1,696,1558,2295
St. Mary's,5,5,2,627,1355,2022
St. Mary's,5,5,3,461,1444,1950
St. Mary's,5,6,1,380,768,1176
St. Mary's,5,6,2,468,1163,1666
St. Mary's,5,6,3,839,1623,2532
St. Mary's,5,6,4,483,999,1505
St. Mary's,5,7,1,565,1188,1773
St. Mary's,5,8,1,1148,682,1878
St. Mary's,5,8,2,573,723,1336
St. Mary's,5,8,3,1193,900,2166
St. Mary's,5,8,4,1349,927,2342
St. Mary's,5,8,5,908,976,1947
St. Mary's,5,8,6,538,582,1155
St. Mary's,5,8,7,1090,623,1769
St. Mary's,5,8,8,341,281,642
St. Mary's,5,8,9,1466,671,2193
St. Mary's,5,8,10,395,245,660
St. Mary's,5,8,11,728,611,1392
St. Mary's,5,8,12,108,240,355
St. Mary's,5,9,1,73,73,148
Somerset,1,1,1,530,312,858
Somerset,1,1,2,634,503,1156
Somerset,1,1,3,219,73,294
Somerset,1,2,1,69,198,272
Somerset,1,3,1,245,547,805
Somerset,1,4,1,201,436,643
Somerset,1,5,1,151,365,524
Somerset,1,6,1,119,176,299
Somerset,1,7,1,508,637,1157
Somerset,1,8,1,236,746,995
Somerset,1,8,2,68,260,329
Somerset,1,9,1,66,132,199
Somerset,1,10,1,29,60,90
Somerset,1,10,2,1,31,32
Somerset,1,11,1,21,71,93
Somerset,1,12,1,110,307,426
Somerset,1,13,1,25,95,120
Somerset,1,13,2,89,148,239
Somerset,1,13,3,58,83,146
Somerset,1,14,1,53,173,230
Somerset,1,15,1,300,215,525
Somerset,1,15,2,459,136,598
Somerset,1,15,3,50,35,87
Talbot,1,1,1,2188,1589,3827
Talbot,1,1,2,2328,1748,4149
Talbot,1,1,3,1214,911,2179
Talbot,1,1,5,1014,1414,2471
Talbot,1,2,1,1095,765,1884
Talbot,1,2,2,221,254,483
Talbot,1,2,3,429,510,962
Talbot,1,3,1,723,1024,1782
Talbot,1,3,3,470,352,835
Talbot,1,4,1,785,1738,2570
Talbot,1,5,1,341,280,630
Talbot,1,5,2,254,361,628
Washington,6,1,0,617,1196,1850
Washington,6,2,0,641,1392,2072
Washington,6,3,1,244,147,399
Washington,6,3,2,389,278,688
Washington,6,3,3,414,494,933
Washington,6,3,4,419,236,674
Washington,6,3,5,,3,3
Washington,6,4,0,298,1366,1687
Washington,6,5,0,252,1359,1639
Washington,6,6,1,470,1072,1575
Washington,6,6,2,703,1124,1862
Washington,6,7,1,483,1200,1705
Washington,6,7,2,464,897,1384
Washington,6,8,0,449,950,1428
Washington,6,9,0,573,960,1556
Washington,6,10,1,789,1106,1926
Washington,6,10,2,1150,1266,2468
Washington,6,10,3,438,591,1055
Washington,6,10,4,250,381,639
Washington,6,10,5,8,7,15
Washington,6,11,1,256,386,653
Washington,6,11,2,101,221,330
Washington,6,12,0,373,999,1396
Washington,6,13,1,461,1412,1913
Washington,6,13,2,482,683,1184
Washington,6,14,1,169,416,599
Washington,6,14,2,155,358,521
Washington,6,15,0,169,854,1033
Washington,6,16,0,783,1315,2121
Washington,6,17,1,1259,1071,2391
Washington,6,18,1,459,1047,1529
Washington,6,18,2,581,1063,1662
Washington,6,18,3,1103,903,2047
Washington,6,18,4,235,111,352
Washington,6,19,0,529,890,1445
Washington,6,20,0,277,868,1160
Washington,6,21,1,920,741,1700
Washington,6,21,2,740,621,1392
Washington,6,21,3,497,356,872
Washington,6,22,1,573,329,927
Washington,6,22,2,681,538,1244
Washington,6,23,0,503,2005,2548
Washington,6,24,1,118,256,378
Washington,6,25,1,324,83,416
Washington,6,25,2,764,656,1442
Washington,6,25,3,20,29,52
Washington,6,25,4,783,610,1421
Washington,6,26,1,475,936,1434
Washington,6,26,2,539,803,1370
Washington,6,26,3,278,468,764
Washington,6,26,4,534,1086,1652
Washington,6,27,1,954,981,1963
Washington,6,27,2,898,1104,2041
Wicomico,1,1,1,223,191,424
Wicomico,1,1,2,240,498,750
Wicomico,1,1,3,116,481,614
Wicomico,1,2,1,526,857,1407
Wicomico,1,4,1,53,162,223
Wicomico,1,4,2,88,315,413
Wicomico,1,4,3,288,854,1164
Wicomico,1,5,1,1066,289,1396
Wicomico,1,5,2,231,207,450
Wicomico,1,5,3,599,548,1171
Wicomico,1,5,4,967,1003,2008
Wicomico,1,5,5,1156,1322,2537
Wicomico,1,5,6,567,610,1209
Wicomico,1,5,7,298,687,1009
Wicomico,1,5,8,271,577,872
Wicomico,1,5,9,71,165,241
Wicomico,1,6,1,92,384,480
Wicomico,1,7,1,371,665,1048
Wicomico,1,8,1,301,632,947
Wicomico,1,8,2,759,1165,1964
Wicomico,1,8,3,145,164,312
Wicomico,1,8,4,477,509,1007
Wicomico,1,8,5,431,381,826
Wicomico,1,9,1,1105,205,1328
Wicomico,1,9,2,816,40,871
Wicomico,1,9,3,662,165,853
Wicomico,1,9,4,66,38,106
Wicomico,1,9,5,193,164,366
Wicomico,1,9,6,1234,1547,2827
Wicomico,1,9,7,457,272,745
Wicomico,1,9,8,463,398,872
Wicomico,1,10,1,152,56,216
Wicomico,1,10,2,16,35,52
Wicomico,1,10,3,86,305,405
Wicomico,1,11,1,138,29,171
Wicomico,1,11,2,88,126,216
Wicomico,1,11,3,98,141,242
Wicomico,1,11,4,768,888,1703
Wicomico,1,13,1,340,108,459
Wicomico,1,13,2,1005,417,1455
Wicomico,1,13,3,1213,812,2069
Wicomico,1,13,4,598,282,916
Wicomico,1,14,1,46,180,229
Wicomico,1,14,2,200,606,823
Wicomico,1,15,1,389,648,1054
Wicomico,1,15,2,60,124,190
Wicomico,1,15,3,193,430,633
Wicomico,1,16,1,150,192,351
Wicomico,1,16,2,100,191,297
Wicomico,1,16,3,562,537,1134
Wicomico,1,16,4,278,226,511
Wicomico,1,16,5,670,423,1118
Wicomico,1,16,6,177,197,384
Wicomico,1,17,1,395,496,907
Worcester,1,1,1,1374,1682,3113
Worcester,1,1,2,207,437,650
Worcester,1,2,1,211,150,365
Worcester,1,2,2,619,264,893
Worcester,1,2,3,124,277,409
Worcester,1,2,4,274,153,434
Worcester,1,2,5,858,475,1350
Worcester,1,3,1,798,1787,2624
Worcester,1,3,2,521,954,1495
Worcester,1,3,3,416,415,842
Worcester,1,4,1,647,1316,1989
Worcester,1,4,2,231,441,682
Worcester,1,4,3,75,216,296
Worcester,1,4,4,375,704,1094
Worcester,1,5,1,1222,1548,2799
Worcester,1,5,2,1071,1483,2598
Worcester,1,6,1,1066,1621,2710
Worcester,1,6,2,275,723,1021
Worcester,1,6,3,478,1080,1576
Worcester,1,7,1,1718,2845,4627