County,ShortName,CD,Biden,Trump,Total
Beaverhead,Beaverhead,AL,1608,3923,5661
Big Horn,BigHorn,AL,2491,2207,4784
Blaine,Blaine,AL,1589,1469,3117
Broadwater,Broadwater,AL,835,3173,4097
Carbon,Carbon,AL,2421,4468,7052
Carter,Carter,AL,74,775,864
Cascade,Cascade,AL,15456,23315,39885
Chouteau,Chouteau,AL,991,1891,2965
Custer,Custer,AL,1514,4205,5860
Daniels,Daniels,AL,195,799,1014
Dawson,Dawson,AL,962,3758,4825
Deer Lodge,DeerLodge,AL,2562,2186,4891
Fallon,Fallon,AL,172,1375,1575
Fergus,Fergus,AL,1496,4869,6507
Flathead,Flathead,AL,20274,38321,59936
Gallatin,Gallatin,AL,37044,31696,70979
Garfield,Garfield,AL,41,764,813
Glacier,Glacier,AL,3610,1884,5617
Golden Valley,GoldenValley,AL,78,414,503
Granite,Granite,AL,638,1419,2102
Hill,Hill,AL,2981,3957,7182
Jefferson,Jefferson,AL,2625,5345,8151
Judith Basin,JudithBasin,AL,275,1040,1344
Lake,Lake,AL,6916,9322,16626
Lewis & Clark,Lewis&Clark,AL,19743,21409,42265
Liberty,Liberty,AL,249,821,1083
Lincoln,Lincoln,AL,2835,8672,11747
Madison,Madison,AL,1771,4191,6087
McCone,McCone,AL,155,956,1128
Meagher,Meagher,AL,258,833,1110
Mineral,Mineral,AL,686,1828,2563
Missoula,Missoula,AL,43357,26347,71495
Musselshell,Musselshell,AL,413,2423,2881
Park,Park,AL,5280,6025,11566
Petroleum,Petroleum,AL,39,298,348
Phillips,Phillips,AL,416,1936,2382
Pondera,Pondera,AL,903,2031,2995
Powder River,PowderRiver,AL,154,970,1136
Powell,Powell,AL,752,2355,3179
Prairie,Prairie,AL,126,603,744
Ravalli,Ravalli,AL,8763,19114,28507
Richland,Richland,AL,875,4800,5798
Roosevelt,Roosevelt,AL,1910,1996,4017
Rosebud,Rosebud,AL,1199,2486,3773
Sanders,Sanders,AL,1820,5660,7622
Sheridan,Sheridan,AL,574,1403,2030
Silver Bow,SilverBow,AL,10392,7745,18658
Stillwater,Stillwater,AL,1156,4462,5724
Sweet Grass,SweetGrass,AL,549,1840,2446
Teton,Teton,AL,1007,2608,3679
Toole,Toole,AL,467,1596,2119
Treasure,Treasure,AL,78,373,460
Valley,Valley,AL,1030,3135,4261
Wheatland,Wheatland,AL,225,823,1068
Wibaux,Wibaux,AL,77,516,598
Yellowstone,Yellowstone,AL,30679,50772,83821