County,ShortName,CD,Biden,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Beaver,Beaver,2,357,2695,3100,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Box Elder,BoxElder,1,4473,21548,27023,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Cache,Cache,1,16650,38032,57534,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!
Carbon,Carbon,3,2392,6693,9369,,,,,,,,,,,,,,,,,,,,,
Daggett,Daggett,1,111,496,619,,,,,,,,,,,,,,,,,,,,,
Duchesne,Duchesne,1,843,7513,8524,,,,,,,,,,,,,,,,,,,,,
Emery,Emery,3,572,4207,4865,,,,,,,,,,,,,,,,,,,,,
Garfield,Garfield,2,514,2158,2732,,,,,,,,,,,,,,,,,,,,,
Grand,Grand,3,2806,2248,5185,,,,,,,,,,,,,,,,,,,,,
Iron,Iron,2,4892,18989,24890,,,,,,,,,,,,,,,,,,,,,
Kane,Kane,2,1083,2998,4180,,,,,,,,,,,,,,,,,,,,,
Millard,Millard,2,624,5404,6160,,,,,,,,,,,,,,,,,,,,,
Morgan,Morgan,1,1086,5181,6512,,,,,,,,,,,,,,,,,,,,,
Piute,Piute,2,86,773,871,,,,,,,,,,,,,,,,,,,,,
Rich,Rich,1,180,1157,1363,,,,,,,,,,,,,,,,,,,,,
San Juan,SanJuan,3,3113,3535,6877,,,,,,,,,,,,,,,,,,,,,
Sevier,Sevier,2,1084,9052,10362,,,,,,,,,,,,,,,,,,,,,
Summit,Summit,1,15244,10252,26086,,,,,,,,,,,,,,,,,,,,,
Tooele,Tooele,2,8943,21014,31506,,,,,,,,,,,,,,,,,,,,,
Uintah,Uintah,1,1663,13261,15303,,,,,,,,,,,,,,,,,,,,,
Wasatch,Wasatch,3,6187,10795,17579,,,,,,,,,,,,,,,,,,,,,
Washington,Washington,2,20530,67294,90457,,,,,,,,,,,,,,,,,,,,,
Wayne,Wayne,2,365,1229,1621,,,,,,,,,,,,,,,,,,,,,
Weber,Weber,1,40695,65949,111403,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Split Counties,,,,,,,,,,,,,,,,,,,,,,,,,
Davis (pt.),Davis,1,32398,66925,104451,5128,,,,,,,,,,,,,,,,,,,,
Davis (pt.),Davis,2,25013,37210,65363,3140,,,,,,,,,,,,,,,,,,,,
Juab (pt.),Juab,2,121,321,460,18,,,,,,,,,,,,,,,,,,,,
Juab (pt.),Juab,4,524,4766,5405,115,,,,,,,,,,,,,,,,,,,,
Salt Lake (pt.),SaltLake,2,84440,33025,121926,4461,,,,,,,,,,,,,,,,,,,,
Salt Lake (pt.),SaltLake,3,55206,49546,108416,3664,,,,,,,,,,,,,,,,,,,,
Salt Lake (pt.),SaltLake,4,150260,147603,310624,12761,,,,,,,,,,,,,,,,,,,,
Sanpete (pt.),Sanpete,2,838,5505,6534,191,,,,,,,,,,,,,,,,,,,,
Sanpete (pt.),Sanpete,4,956,4954,6091,181,,,,,,,,,,,,,,,,,,,,
Utah (pt.),Utah,3,61569,148806,222380,12005,,,,,,,,,,,,,,,,,,,,
Utah (pt.),Utah,4,14464,44006,61906,3436,,,,,,,,,,,,,,,,,,,,